feature	pagel_lam_mle	pagel_lam_sim	pagel_lam_sim_source	pagel_lam_sim_spec	pagel_lam_sim_alpha	pagel_lam_sim_beta	pagel_lam_mode	pagel_lam_mode_requested
feature_1	0.426407005921281	0.503	beta	beta:10,10	10	10	global	global
feature_2	0.426407005921281	0.442	beta	beta:10,10	10	10	global	global
feature_3	0.426407005921281	0.454	beta	beta:10,10	10	10	global	global
feature_4	0.426407005921281	0.53	beta	beta:10,10	10	10	global	global
feature_5	0.426407005921281	0.495	beta	beta:10,10	10	10	global	global
feature_6	0.426407005921281	0.459	beta	beta:10,10	10	10	global	global
feature_7	0.426407005921281	0.386	beta	beta:10,10	10	10	global	global
feature_8	0.426407005921281	0.477	beta	beta:10,10	10	10	global	global
feature_9	0.426407005921281	0.516	beta	beta:10,10	10	10	global	global
feature_10	0.426407005921281	0.544	beta	beta:10,10	10	10	global	global
feature_11	0.426407005921281	0.501	beta	beta:10,10	10	10	global	global
feature_12	0.426407005921281	0.511	beta	beta:10,10	10	10	global	global
feature_13	0.426407005921281	0.545	beta	beta:10,10	10	10	global	global
feature_14	0.426407005921281	0.565	beta	beta:10,10	10	10	global	global
feature_15	0.426407005921281	0.673	beta	beta:10,10	10	10	global	global
feature_16	0.426407005921281	0.504	beta	beta:10,10	10	10	global	global
feature_17	0.426407005921281	0.59	beta	beta:10,10	10	10	global	global
feature_18	0.426407005921281	0.681	beta	beta:10,10	10	10	global	global
feature_19	0.426407005921281	0.589	beta	beta:10,10	10	10	global	global
feature_20	0.426407005921281	0.475	beta	beta:10,10	10	10	global	global
feature_21	0.426407005921281	0.751	beta	beta:10,10	10	10	global	global
feature_22	0.426407005921281	0.566	beta	beta:10,10	10	10	global	global
feature_23	0.426407005921281	0.506	beta	beta:10,10	10	10	global	global
feature_24	0.426407005921281	0.59	beta	beta:10,10	10	10	global	global
feature_25	0.426407005921281	0.461	beta	beta:10,10	10	10	global	global
feature_26	0.426407005921281	0.644	beta	beta:10,10	10	10	global	global
feature_27	0.426407005921281	0.537	beta	beta:10,10	10	10	global	global
feature_28	0.426407005921281	0.595	beta	beta:10,10	10	10	global	global
feature_29	0.426407005921281	0.638	beta	beta:10,10	10	10	global	global
feature_30	0.426407005921281	0.587	beta	beta:10,10	10	10	global	global
