feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t37	-0.222	0.172	-1.267	-0.273	-1.492	-0.685	-0.183	0.813	-0.173	0.687	0.286	0.203	-0.419	0.301	1.651	0.733	-2.659	-0.462	0.428	0.416	0.081	-0.13	-0.584	0.753	-0.728	0.736	0.614	0.611	0.782	0.008
t9	0.301	0.31	0.653	1.216	-1.013	-0.26	-0.263	-0.375	0.959	-0.074	1.209	0.34	-0.008	0.286	0.412	0.349	-4.024	1.271	-0.799	0.232	0.159	0.719	-1.882	-0.299	-1.568	0.652	0.514	1.081	-0.151	0.053
t8	0.293	-0.591	-0.505	1.184	-0.953	0.143	-0.174	0.185	1.323	-0.004	0.186	-0.203	-0.152	0.31	1.939	-0.217	-1.522	0.244	-0.167	0.212	0.149	-1.265	-1.189	-0.492	1.285	-0.018	0.318	-0.741	0.03	0.392
t24	0.238	-0.247	-0.85	3.042	-4.508	-0.608	0.609	0.036	1.142	0.564	0.486	0.751	-0.353	0.288	1.741	0.031	-2.946	-1.116	-1.11	0.236	-0.028	1.477	0.258	0.262	-0.981	0.852	0.462	-0.768	0.959	0.081
t20	0.329	1.182	-1.492	-1.048	-0.812	0.118	-0.297	0.36	-0.062	0.299	1.647	1.221	0.329	0.428	1.47	-0.041	-3.314	0.045	-0.443	0.415	0.704	0.407	-0.516	0.004	-2.071	0.81	0.829	-0.353	0.115	-0.263
t33	0.04	-0.868	0.106	1.032	0.884	-0.106	-0.223	0.828	-1.03	-0.195	0.333	0.655	-0.334	0.098	0.739	-0.585	-3.197	0.109	-0.601	-0.255	0.172	-1.078	0.728	-0.003	-0.03	0.089	-0.05	2.728	0.53	-0.514
t22	1.176	-1.552	0.363	0.327	0.955	1.109	-0.08	-0.543	-0.15	0.088	0.833	-0.081	-0.878	0.197	1.157	-0.605	-4.306	-0.411	0.16	0.296	-0.206	-0.326	0.193	-0.199	0.134	0.46	0.577	1.816	-0.074	-0.429
t43	0.657	1.21	-0.303	-1.46	-0.085	0.737	0.236	0.947	0.004	-0.59	-0.587	0.145	0.54	0.152	1.599	-0.289	-4.711	-0.222	-0.29	0.312	0.285	-0.261	0.499	-1.027	3.158	0.003	0.282	-0.265	-0.306	-0.369
t4	-0.978	0.958	1.098	0.768	0.582	0.486	-0.844	2.108	1.122	-0.282	1.515	0.35	-0.308	-0.142	-1.594	0.101	0.184	0.146	-0.743	0.027	-0.198	-0.619	-0.912	-0.74	-0.429	-0.269	-0.848	0.177	-0.076	-0.641
t25	-1.8	0.044	-0.102	-1.434	1.376	-0.165	1.279	0.712	-1.838	0.041	-0.754	-0.37	0.367	-0.124	0.431	-0.093	1.041	-0.365	0.361	-0.409	0.379	0.951	-0.955	0.645	0.189	-0.4	0.112	-0.228	1.098	0.012
t32	-0.849	-0.093	-0.14	-1.193	1.617	-0.135	0.775	-1.415	-0.82	0.224	-0.091	0.957	0.215	0.241	0.431	0.604	-3.188	0.171	-1.872	0.165	0.485	1.352	-1.028	0.089	1.765	-0.298	0.632	0.398	0.291	0.711
t45	-1.135	-0.368	0.14	-1.881	1.925	-0.332	0.151	-0.686	-1.313	-0.018	0.329	0.635	-0.355	0.247	0.509	0.056	0.161	0.314	-1.18	-0.079	0.242	0.842	-0.782	-0.389	2.052	-0.169	0.196	0.527	0.157	0.206
t29	-0.038	0.038	0.284	-1.529	1.434	0.11	-0.001	0.194	-2.141	0.051	0.131	0.738	-0.051	0.161	1.037	-0.295	-1.97	0.484	-0.263	0.191	0.399	-0.87	1.286	-0.309	0.453	0.252	0.357	-0.994	0.783	0.076
t18	-0.308	0.059	-1.076	0.646	-0.001	-0.465	0.346	0.951	-1.212	0.311	0.535	0.519	-0.768	0.218	0.149	-0.244	-3.159	-0.083	0.193	-0.046	0.354	0.177	0.205	0.347	-0.036	0.011	0.473	1.503	0.341	0.058
t21	-1.207	-1.288	0.075	-2.07	-0.787	0.736	0.787	-0.779	-0.214	-0.008	0.581	-0.094	-0.199	0.315	-0.565	0.382	-0.842	0.812	-0.273	0.109	0.42	0.087	0.289	0.188	1.972	0.117	0.705	-0.41	0.447	0.711
t41	0.593	-0.983	-0.643	-1.865	2.968	0.912	0.463	-0.223	0.267	-0.091	-1.2	0.497	-0.083	0.175	-0.269	-0.393	-2.929	0.022	-1.887	-0.031	-0.266	1.715	-0.087	0.811	0.747	0.44	0.835	1.304	-0.452	-0.348
t23	-1.632	-1.563	0.683	0.207	-0.629	0.342	0.387	-0.282	-1.024	-0.058	0.774	-0.25	0.087	0.17	1.212	0.73	1.66	0.47	0.55	-0.018	0.133	0.655	-1.635	-0.456	0.269	0.071	0.449	-0.735	-0.635	0.07
t19	0.191	-1.464	-0.728	0.67	0.028	1.015	0.368	-2.094	-0.939	0.112	0.429	0.773	-0.224	0.49	-0.698	0.327	-3.39	0.305	-0.802	0.314	0.568	0.126	0.578	0.562	1.865	0.55	0.468	1.137	-0.839	0.298
t47	1.323	-0.705	-1.159	-0.708	-0.962	0.492	0.452	-0.55	-0.252	-0.334	-0.683	0.467	0.139	0.332	0.557	0.222	-2.157	-0.228	0.038	0.449	0.393	-0.04	0.919	1.031	-1.125	0.534	0.352	1.029	-0.112	0.286
t34	-0.074	0.286	-1.241	-0.707	3.043	0.44	1.803	-0.778	1.159	-0.256	-0.785	-0.093	-0.191	-0.147	-0.929	-0.641	-1.751	0.086	0.081	0.018	0.315	-0.212	-1.209	-0.439	1.151	-0.225	-0.515	1.837	-0.247	0.219
t36	-0.374	0.169	-0.762	-1.983	3.998	-0.267	1.073	-1.304	-0.084	0.251	0.292	-0.604	-0.93	-0.177	0.775	-0.731	-1.12	-0.026	-1.027	-0.39	-0.416	-0.491	-0.586	0.354	1.908	0.227	-0.62	2.652	0.082	0.111
t6	0.117	-0.868	0.379	-1.801	1.158	-0.272	0.567	-0.729	-0.754	-0.01	-0.731	-0.588	0.438	0.196	-0.658	-0.017	-0.531	-0.016	0.316	-0.255	0.229	2.425	-0.247	0.504	1.04	-0.321	0.073	-0.016	0.04	0.33
t42	1.112	1.358	-0.33	1.173	-0.172	0.998	0.234	-0.767	-0.633	-0.031	-0.453	0.363	-0.414	0.157	0.86	-0.538	-3.511	0.951	0.437	-0.151	0.206	-0.738	-0.245	0.082	-0.604	-0.268	0.194	0.721	-0.192	0.202
t31	-0.608	-0.66	-1.333	-0.927	2.267	0.378	0.464	0.715	0.591	0.389	0.826	0.292	0.028	0.175	0.439	-0.532	-3.025	0.517	-1.032	0.103	-0.379	-1.233	0.293	-0.202	0.689	-0.24	0.596	1.431	0.179	-0.201
t16	-1.477	0.099	-0.962	-1.404	-0.717	0.409	1.108	-0.467	-0.857	0.519	1.337	0.043	0.487	0.158	-2.019	-0.089	0.643	-0.306	1.471	-0.299	0.404	0.453	-0.586	-0.462	2.227	-0.075	-0.032	0.227	0.344	-0.177
t26	-1.235	-1.065	-0.087	-1.014	2.422	-0.055	-0.167	-0.819	0.2	0.531	1.323	-1.193	-0.097	0.088	0.004	0.499	1.263	0.276	-0.962	-0.18	0.334	-0.79	-0.753	0.298	0.286	-0.198	0.16	0.528	0.132	0.273
t44	-0.677	-0.96	0.12	1.332	-0.166	0.037	0.822	0.56	-2.094	0.261	0.272	-0.001	-0.773	0.014	1.316	-0.376	-3.796	0.375	0.337	0.044	0.188	-0.699	-0.009	1.116	-0.527	-0.117	-0.249	2.764	0.859	0.028
t14	0.727	1.308	-0.224	0.038	0.967	-0.447	-0.737	0.724	-0.661	0.122	-0.604	1.275	-0.353	0.205	0.896	-0.359	-2.839	0.29	-0.876	0.215	0.244	0.001	-0.067	-0.517	-1.259	0.079	-0.062	0.914	0.727	0.273
t27	-0.113	0.184	-0.497	0.655	-0.691	0.266	-0.804	1.111	-0.603	-0.601	0.195	0.248	0.091	-0.032	0.504	-0.157	0.141	0.239	-0.245	0.144	-0.303	-1.299	1.035	-0.297	-1.505	-0.017	0.278	2.175	-0.324	0.224
t35	-1.277	0.493	-0.457	-1.021	1.564	-0.051	0.032	0.873	-0.002	-0.301	-0.218	-0.087	0.325	0.06	0.825	-0.416	-2.281	-0.425	0.756	0.058	-0.217	-0.29	1.833	-0.59	-0.862	-0.544	0.148	1.838	0.377	-0.144
t12	0.546	-2.443	-0.684	-0.41	-0.581	-0.111	1.724	-0.566	-2.687	0.035	-0.654	0.395	-0.345	0.113	0.509	0.387	-1.504	0.021	1.377	0.071	0.627	0.928	-2.061	0.065	1.302	-0.228	-0.1	4.014	-0.008	0.271
t13	-0.285	-1.819	-0.222	0.485	1.799	-1.017	0.73	-0.247	-0.074	-0.237	-1.22	0.592	-0.456	-0.006	0.105	0.39	-2.374	0.133	1.481	-0.05	0.342	0.26	-0.996	1.156	0.122	-0.052	0.189	0.436	0.228	0.608
t48	-0.139	0.318	-0.047	-0.243	0.192	-0.656	-1.491	0.022	-0.535	0.026	0.813	0.821	-0.176	0.159	1.632	0.085	-1.564	-0.045	0.562	-0.027	0.15	-0.425	-0.483	0.318	-0.563	0.317	-0.08	0.984	0.241	-0.165
t40	-0.581	-0.274	0.357	3.131	0.269	-0.155	0.896	1.599	-1.205	-0.045	1.537	0.576	0.279	0.149	1.219	0.852	-5.617	-0.672	-0.528	0.203	-0.025	0.693	-1.333	-0.102	-0.169	0.511	0.615	-2.569	0.488	-0.094
t38	-0.023	-1.075	-1.324	3.235	0.788	-0.312	-0.008	0.999	1.957	0.145	0.1	0.476	-0.068	0.162	0.855	-1.152	-3.445	-0.013	0.798	0.111	-0.353	-0.652	-1.849	0.106	-0.426	0.041	0.433	0.499	-0.06	0.056
t17	0.257	-0.606	-0.358	2.463	1.06	-0.652	0.124	-0.456	-0.919	-0.277	0.342	0.638	-0.343	0.185	-1.209	-0.787	-1.381	0.368	1.85	0.139	0.251	0.187	-1.1	0.586	-0.833	0.138	0.434	0.699	-0.844	0.045
t2	0.355	-0.254	-0.981	3.257	-0.658	-0.858	-0.774	-0.164	-0.731	0.29	0.454	0.885	-0.05	0.053	1.112	-0.221	-3.596	0.799	0.446	-0.094	-0.38	0.929	0.003	0.073	-1.181	0	0.762	0.592	0.058	-0.125
t1	1.03	-0.847	-0.112	0.158	-1.265	0.596	-0.762	0.577	0.657	0.156	0.247	0.024	-0.307	0.601	-0.268	0.748	-5.116	0.063	0.021	0.392	0.045	1.332	0.198	0.698	-0.623	0.482	1.105	0.769	-0.477	-0.122
t3	-0.71	-1.413	-0.65	2.205	-3.292	0.597	-0.384	1.361	0.181	0.059	1.413	0.632	-0.515	0.317	2.409	0.184	-1.268	-0.439	0.819	0.274	0.11	0.241	-0.076	0.007	-1.904	0.373	0.757	0.157	-0.885	-0.561
t46	0.156	-0.741	0.473	-3.377	2.953	0.931	-0.851	1.39	2.278	-0.215	0.352	0.36	-0.194	-0.176	0.277	0.225	-0.305	-0.214	-2.382	-0.337	0.198	0.779	0.092	-0.188	-0.33	-0.397	-0.267	0.176	-0.611	-0.052
t11	-0.042	-2.223	0.826	0.125	-0.373	-0.004	-1.316	1.908	0.453	0.005	-0.275	0.695	-0.403	-0.103	1.455	0.2	-2.015	-0.192	-0.79	-0.264	0.193	0.589	-0.825	-0.312	1.915	-0.257	-0.362	0.633	0.461	0.302
