feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t37	0.026	0.023	0.019	0.025	0.038	0.027	0.033	0.041	0.026	0.035	0.037	0.039	0.025	0.036	0.064	0.034	0.004	0.029	0.03	0.034	0.034	0.034	0.019	0.037	0.037	0.037	0.039	0.069	0.038	0.032
t9	0.027	0.024	0.029	0.033	0.042	0.028	0.032	0.032	0.034	0.03	0.046	0.04	0.027	0.035	0.049	0.032	0.003	0.043	0.022	0.032	0.034	0.042	0.013	0.028	0.03	0.036	0.037	0.073	0.032	0.032
t8	0.03	0.018	0.022	0.038	0.039	0.032	0.034	0.033	0.038	0.031	0.037	0.036	0.026	0.037	0.072	0.029	0.004	0.033	0.027	0.033	0.035	0.029	0.016	0.03	0.054	0.033	0.038	0.048	0.033	0.035
t24	0.028	0.02	0.021	0.054	0.019	0.028	0.04	0.033	0.036	0.034	0.037	0.043	0.025	0.036	0.064	0.029	0.003	0.025	0.021	0.033	0.033	0.05	0.023	0.033	0.035	0.038	0.037	0.051	0.04	0.032
t20	0.029	0.028	0.018	0.02	0.046	0.033	0.032	0.036	0.027	0.032	0.05	0.049	0.029	0.037	0.06	0.028	0.003	0.033	0.025	0.034	0.039	0.038	0.019	0.031	0.027	0.037	0.041	0.057	0.032	0.029
t33	0.027	0.016	0.025	0.035	0.057	0.029	0.032	0.038	0.022	0.028	0.038	0.043	0.024	0.034	0.052	0.026	0.003	0.031	0.023	0.029	0.034	0.03	0.023	0.031	0.04	0.033	0.033	0.101	0.035	0.027
t22	0.033	0.015	0.027	0.026	0.066	0.039	0.033	0.03	0.025	0.03	0.041	0.035	0.022	0.034	0.057	0.025	0.002	0.028	0.027	0.032	0.03	0.032	0.021	0.028	0.045	0.034	0.037	0.086	0.032	0.028
t43	0.031	0.027	0.022	0.019	0.047	0.036	0.036	0.039	0.026	0.026	0.03	0.038	0.03	0.034	0.064	0.027	0.002	0.029	0.025	0.033	0.035	0.036	0.023	0.025	0.083	0.032	0.037	0.052	0.029	0.028
t4	0.022	0.027	0.033	0.035	0.058	0.035	0.029	0.054	0.036	0.03	0.053	0.042	0.025	0.034	0.031	0.031	0.007	0.033	0.024	0.032	0.032	0.035	0.017	0.028	0.036	0.032	0.029	0.061	0.032	0.028
t25	0.019	0.025	0.024	0.025	0.06	0.032	0.043	0.045	0.019	0.031	0.032	0.037	0.03	0.034	0.055	0.028	0.006	0.029	0.029	0.03	0.036	0.042	0.019	0.037	0.037	0.031	0.037	0.053	0.042	0.031
t32	0.025	0.023	0.023	0.026	0.062	0.03	0.037	0.026	0.023	0.031	0.034	0.049	0.027	0.035	0.053	0.032	0.002	0.031	0.017	0.033	0.035	0.046	0.018	0.032	0.051	0.031	0.04	0.062	0.033	0.035
t45	0.023	0.022	0.025	0.022	0.068	0.029	0.032	0.032	0.021	0.03	0.038	0.046	0.024	0.036	0.056	0.028	0.005	0.033	0.02	0.032	0.034	0.041	0.019	0.029	0.055	0.032	0.037	0.066	0.033	0.031
t29	0.027	0.021	0.027	0.019	0.068	0.032	0.034	0.034	0.017	0.031	0.037	0.045	0.027	0.036	0.058	0.029	0.004	0.035	0.026	0.033	0.037	0.032	0.027	0.03	0.047	0.036	0.038	0.041	0.038	0.032
t18	0.025	0.021	0.019	0.033	0.046	0.027	0.037	0.04	0.022	0.033	0.041	0.042	0.022	0.036	0.045	0.029	0.003	0.03	0.029	0.031	0.036	0.042	0.021	0.035	0.041	0.033	0.039	0.077	0.034	0.031
t21	0.024	0.018	0.025	0.022	0.036	0.038	0.039	0.032	0.028	0.03	0.041	0.039	0.026	0.037	0.044	0.031	0.004	0.038	0.026	0.034	0.036	0.035	0.026	0.034	0.056	0.035	0.042	0.053	0.036	0.036
t41	0.029	0.017	0.021	0.015	0.101	0.038	0.038	0.031	0.027	0.028	0.025	0.04	0.025	0.033	0.041	0.026	0.004	0.03	0.016	0.03	0.031	0.049	0.02	0.035	0.049	0.034	0.038	0.072	0.029	0.028
t23	0.021	0.017	0.03	0.039	0.037	0.035	0.035	0.036	0.023	0.03	0.044	0.038	0.028	0.036	0.069	0.034	0.007	0.035	0.032	0.033	0.034	0.041	0.016	0.029	0.036	0.035	0.04	0.049	0.028	0.031
t19	0.025	0.016	0.021	0.029	0.054	0.038	0.037	0.021	0.021	0.031	0.038	0.043	0.026	0.037	0.037	0.031	0.003	0.034	0.021	0.033	0.037	0.037	0.023	0.034	0.069	0.035	0.036	0.074	0.027	0.033
t47	0.035	0.02	0.019	0.021	0.043	0.034	0.039	0.031	0.026	0.028	0.03	0.041	0.029	0.036	0.053	0.031	0.004	0.031	0.027	0.035	0.036	0.036	0.026	0.04	0.033	0.036	0.036	0.074	0.033	0.034
t34	0.028	0.024	0.018	0.029	0.078	0.035	0.047	0.03	0.035	0.028	0.03	0.039	0.026	0.033	0.038	0.025	0.003	0.031	0.028	0.032	0.035	0.032	0.017	0.028	0.044	0.031	0.032	0.08	0.03	0.031
t36	0.025	0.023	0.02	0.02	0.096	0.028	0.038	0.026	0.025	0.031	0.038	0.033	0.021	0.032	0.056	0.024	0.004	0.029	0.02	0.028	0.028	0.029	0.019	0.033	0.052	0.034	0.03	0.095	0.031	0.03
t6	0.031	0.02	0.027	0.022	0.057	0.031	0.036	0.031	0.025	0.031	0.033	0.035	0.03	0.037	0.042	0.029	0.004	0.032	0.028	0.031	0.035	0.06	0.023	0.035	0.046	0.032	0.037	0.055	0.032	0.033
t42	0.036	0.029	0.024	0.038	0.045	0.04	0.036	0.026	0.025	0.03	0.032	0.041	0.025	0.036	0.055	0.027	0.003	0.039	0.031	0.031	0.035	0.034	0.019	0.033	0.036	0.031	0.037	0.064	0.03	0.033
t31	0.023	0.017	0.018	0.022	0.081	0.033	0.037	0.037	0.033	0.033	0.043	0.039	0.027	0.035	0.048	0.026	0.003	0.034	0.021	0.032	0.029	0.029	0.021	0.03	0.049	0.03	0.039	0.074	0.032	0.029
