V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t76	-3.585	-1.48	0.05	-1.307	-1.322	1.151	-1.582	2.328	-2.765	3.196	-0.321	-1.02	2.026	-1.748	-1.334	1.637	-2.345	1.832	0.75	-0.651	1.268	3.347	-0.596	-0.811	0.741	3.055	-1.64	-0.593	2.115	-0.41
t133	0.8	-0.688	-1.59	2.139	2.975	0.554	0.282	0.331	0.781	-4.53	-0.691	-3.458	1.214	2.323	3.276	0.123	-0.65	-2.247	-0.127	1.479	-1.034	-1.521	-1.491	0.034	-0.861	-0.822	1.465	1.259	-2.279	2.933
t167	-1.622	-0.616	-0.55	0.661	0.598	1.007	-0.671	1.57	-1.84	-0.264	-0.807	-2.215	1.255	-0.164	0.302	0.206	-1.686	0.187	0.989	0.553	0.595	1.443	-1.114	-0.445	0.212	1.177	-0.502	0.306	0.417	1.015
t18	-0.752	1.016	-0.67	1.755	2.106	1.1	-0.265	1.307	-2.217	-1.677	-2.103	-2.817	0.223	0.142	0.587	-1.495	-1.592	-0.38	1.984	1.458	0.877	1.156	-1.6	-0.306	0.112	-0.194	-0.364	0.842	-0.188	1.949
t128	-1.83	1.676	-0.084	1.628	0.748	1.441	-0.547	1.948	-3.774	0.069	-2.591	-2.68	-0.053	-1.498	-0.94	-2.14	-1.999	0.819	3.045	1.52	1.828	2.621	-1.489	-0.471	0.7	0.601	-1.385	0.628	1.11	1.089
t87	-1.252	-4.112	-1.333	-1.794	1.172	0.272	-1.042	0.908	1.427	-0.507	1.549	-1.063	3.342	2.331	2.331	4.002	-1.334	-0.821	-2.554	-1.348	-1.276	-0.109	-0.61	-0.449	-0.638	1.92	0.849	-0.328	-0.808	1.26
t96	-1.187	0.135	-0.653	1.494	1.16	1.029	-0.421	1.381	-1.898	-1.125	-1.277	-2.654	0.809	-0.128	0.594	-0.461	-1.551	-0.197	1.461	1.132	0.603	1.064	-1.311	-0.351	0.096	0.478	-0.321	0.632	0.016	1.448
t151	-1.905	-0.895	-0.501	0.244	0.55	0.981	-0.877	1.653	-1.947	0.31	-0.618	-1.829	1.392	-0.144	0.063	0.575	-1.85	0.385	0.841	0.192	0.677	1.735	-1.056	-0.53	0.268	1.413	-0.659	0.084	0.642	0.804
t112	0.665	-0.915	-1.546	1.847	3.131	0.536	0.14	0.418	0.531	-4.141	-0.528	-3.094	1.193	2.533	3.001	0.221	-0.832	-2.094	-0.159	1.154	-0.899	-1.272	-1.501	-0.045	-0.763	-0.704	1.307	1.056	-2.03	2.774
t160	-0.29	0.194	-0.973	2.275	1.755	0.921	0.004	0.99	-1.067	-2.776	-1.266	-3.334	0.732	0.604	1.6	-0.746	-1.119	-1.016	1.215	1.639	0.055	-0.001	-1.44	-0.149	-0.225	-0.162	0.354	1.057	-0.898	2.06
