feature	pagel_lam_mle	pagel_lam_sim	pagel_lam_sim_source	pagel_lam_sim_spec	pagel_lam_sim_alpha	pagel_lam_sim_beta	pagel_lam_mode	pagel_lam_mode_requested
feature_1	0.390270338395891	0.395	beta	beta:10,10	10	10	global	global
feature_2	0.390270338395891	0.422	beta	beta:10,10	10	10	global	global
feature_3	0.390270338395891	0.488	beta	beta:10,10	10	10	global	global
feature_4	0.390270338395891	0.421	beta	beta:10,10	10	10	global	global
feature_5	0.390270338395891	0.42	beta	beta:10,10	10	10	global	global
feature_6	0.390270338395891	0.584	beta	beta:10,10	10	10	global	global
feature_7	0.390270338395891	0.661	beta	beta:10,10	10	10	global	global
feature_8	0.390270338395891	0.533	beta	beta:10,10	10	10	global	global
feature_9	0.390270338395891	0.464	beta	beta:10,10	10	10	global	global
feature_10	0.390270338395891	0.474	beta	beta:10,10	10	10	global	global
feature_11	0.390270338395891	0.4	beta	beta:10,10	10	10	global	global
feature_12	0.390270338395891	0.457	beta	beta:10,10	10	10	global	global
feature_13	0.390270338395891	0.554	beta	beta:10,10	10	10	global	global
feature_14	0.390270338395891	0.315	beta	beta:10,10	10	10	global	global
feature_15	0.390270338395891	0.381	beta	beta:10,10	10	10	global	global
feature_16	0.390270338395891	0.517	beta	beta:10,10	10	10	global	global
feature_17	0.390270338395891	0.514	beta	beta:10,10	10	10	global	global
feature_18	0.390270338395891	0.537	beta	beta:10,10	10	10	global	global
feature_19	0.390270338395891	0.345	beta	beta:10,10	10	10	global	global
feature_20	0.390270338395891	0.453	beta	beta:10,10	10	10	global	global
feature_21	0.390270338395891	0.521	beta	beta:10,10	10	10	global	global
feature_22	0.390270338395891	0.379	beta	beta:10,10	10	10	global	global
feature_23	0.390270338395891	0.391	beta	beta:10,10	10	10	global	global
feature_24	0.390270338395891	0.588	beta	beta:10,10	10	10	global	global
feature_25	0.390270338395891	0.626	beta	beta:10,10	10	10	global	global
feature_26	0.390270338395891	0.617	beta	beta:10,10	10	10	global	global
feature_27	0.390270338395891	0.469	beta	beta:10,10	10	10	global	global
feature_28	0.390270338395891	0.378	beta	beta:10,10	10	10	global	global
feature_29	0.390270338395891	0.697	beta	beta:10,10	10	10	global	global
feature_30	0.390270338395891	0.307	beta	beta:10,10	10	10	global	global
