feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t35	0.008	0.053	0.03	0.033	0.036	0.041	0.009	0.018	0.035	0.043	0.036	0.025	0.028	0.036	0.034	0.032	0.031	0.031	0.024	0.036	0.044	0.027	0.034	0.034	0.074	0.033	0.024	0.026	0.055	0.032
t29	0.015	0.048	0.03	0.029	0.034	0.015	0.014	0.031	0.035	0.042	0.044	0.022	0.029	0.038	0.033	0.032	0.033	0.024	0.021	0.027	0.02	0.017	0.042	0.079	0.074	0.032	0.022	0.028	0.055	0.034
t25	0.017	0.031	0.027	0.027	0.032	0.066	0.023	0.051	0.029	0.037	0.041	0.013	0.029	0.031	0.028	0.027	0.028	0.02	0.018	0.028	0.029	0.028	0.045	0.059	0.06	0.029	0.033	0.026	0.048	0.039
t20	0.021	0.041	0.031	0.034	0.034	0.035	0.013	0.029	0.043	0.044	0.043	0.017	0.022	0.052	0.033	0.033	0.028	0.033	0.019	0.03	0.025	0.022	0.05	0.043	0.059	0.029	0.025	0.03	0.048	0.032
t16	0.008	0.057	0.03	0.033	0.034	0.027	0.01	0.017	0.037	0.049	0.033	0.017	0.027	0.032	0.032	0.032	0.035	0.047	0.022	0.035	0.029	0.023	0.032	0.046	0.044	0.033	0.022	0.028	0.089	0.042
t7	0.009	0.037	0.032	0.033	0.035	0.021	0.015	0.046	0.035	0.043	0.031	0.023	0.024	0.042	0.035	0.034	0.033	0.027	0.016	0.047	0.034	0.028	0.039	0.048	0.052	0.035	0.02	0.032	0.055	0.038
t21	0.023	0.043	0.028	0.028	0.031	0.017	0.011	0.05	0.035	0.032	0.032	0.016	0.023	0.044	0.029	0.03	0.033	0.032	0.019	0.033	0.026	0.021	0.038	0.039	0.099	0.024	0.022	0.027	0.081	0.035
t13	0.012	0.036	0.029	0.028	0.036	0.029	0.013	0.039	0.033	0.046	0.035	0.019	0.021	0.048	0.03	0.031	0.029	0.027	0.016	0.035	0.025	0.022	0.029	0.092	0.077	0.026	0.028	0.029	0.057	0.021
t37	0.01	0.051	0.032	0.031	0.033	0.077	0.018	0.037	0.035	0.038	0.036	0.025	0.029	0.041	0.033	0.032	0.031	0.034	0.019	0.03	0.027	0.024	0.032	0.033	0.049	0.03	0.025	0.03	0.045	0.033
t18	0.014	0.044	0.034	0.034	0.033	0.014	0.016	0.019	0.035	0.06	0.043	0.012	0.027	0.047	0.034	0.035	0.032	0.023	0.026	0.045	0.027	0.028	0.041	0.049	0.058	0.035	0.022	0.027	0.048	0.037
t11	0.015	0.044	0.031	0.032	0.038	0.052	0.008	0.024	0.036	0.042	0.032	0.01	0.027	0.039	0.031	0.031	0.031	0.025	0.025	0.032	0.034	0.022	0.038	0.066	0.044	0.029	0.023	0.026	0.083	0.03
t36	0.016	0.038	0.032	0.035	0.034	0.046	0.012	0.016	0.031	0.043	0.049	0.018	0.035	0.038	0.034	0.034	0.036	0.046	0.026	0.027	0.024	0.022	0.039	0.046	0.04	0.034	0.033	0.029	0.049	0.038
t9	0.01	0.037	0.032	0.036	0.034	0.03	0.009	0.03	0.034	0.043	0.042	0.017	0.021	0.044	0.033	0.033	0.034	0.043	0.027	0.047	0.031	0.017	0.03	0.068	0.065	0.032	0.019	0.028	0.037	0.038
t48	0.013	0.052	0.031	0.031	0.036	0.032	0.017	0.052	0.035	0.046	0.037	0.012	0.025	0.043	0.032	0.031	0.033	0.022	0.026	0.037	0.026	0.021	0.04	0.036	0.077	0.035	0.019	0.03	0.035	0.039
t5	0.012	0.04	0.033	0.035	0.036	0.034	0.019	0.033	0.041	0.048	0.041	0.018	0.022	0.035	0.033	0.031	0.029	0.044	0.015	0.033	0.042	0.016	0.037	0.024	0.053	0.031	0.019	0.025	0.082	0.041
t1	0.019	0.07	0.032	0.033	0.036	0.032	0.011	0.037	0.032	0.046	0.047	0.022	0.019	0.037	0.036	0.032	0.029	0.03	0.013	0.037	0.042	0.014	0.031	0.028	0.048	0.033	0.017	0.027	0.077	0.034
t47	0.02	0.055	0.029	0.029	0.033	0.031	0.01	0.054	0.035	0.045	0.038	0.014	0.023	0.041	0.032	0.031	0.034	0.029	0.022	0.046	0.021	0.02	0.031	0.041	0.051	0.03	0.02	0.026	0.076	0.032
t43	0.021	0.03	0.032	0.03	0.038	0.064	0.008	0.039	0.042	0.038	0.048	0.028	0.023	0.039	0.034	0.031	0.034	0.033	0.015	0.033	0.03	0.023	0.05	0.022	0.048	0.028	0.019	0.029	0.052	0.038
t3	0.008	0.03	0.027	0.026	0.034	0.042	0.01	0.051	0.036	0.035	0.031	0.034	0.023	0.042	0.03	0.028	0.026	0.038	0.021	0.03	0.029	0.019	0.033	0.05	0.081	0.029	0.029	0.024	0.066	0.038
t45	0.01	0.055	0.031	0.036	0.033	0.037	0.013	0.02	0.03	0.04	0.037	0.02	0.025	0.039	0.033	0.032	0.03	0.027	0.02	0.036	0.033	0.024	0.037	0.077	0.059	0.03	0.025	0.025	0.049	0.037
t44	0.009	0.042	0.027	0.027	0.03	0.037	0.009	0.015	0.03	0.034	0.042	0.02	0.025	0.04	0.029	0.027	0.027	0.036	0.018	0.039	0.023	0.025	0.035	0.15	0.048	0.026	0.02	0.024	0.053	0.032
t27	0.02	0.035	0.031	0.031	0.034	0.046	0.006	0.03	0.032	0.042	0.04	0.011	0.024	0.042	0.033	0.031	0.029	0.049	0.019	0.032	0.033	0.026	0.038	0.066	0.06	0.033	0.018	0.028	0.043	0.037
t26	0.009	0.037	0.031	0.033	0.036	0.043	0.011	0.047	0.037	0.037	0.038	0.01	0.026	0.042	0.034	0.032	0.032	0.041	0.02	0.029	0.027	0.028	0.033	0.054	0.054	0.026	0.018	0.029	0.07	0.035
t31	0.007	0.054	0.033	0.033	0.036	0.031	0.019	0.046	0.037	0.05	0.042	0.016	0.028	0.047	0.033	0.034	0.033	0.026	0.016	0.038	0.022	0.027	0.037	0.036	0.043	0.033	0.027	0.031	0.053	0.031
t10	0.009	0.034	0.031	0.029	0.035	0.095	0.014	0.041	0.03	0.038	0.033	0.019	0.022	0.041	0.032	0.03	0.027	0.022	0.015	0.044	0.024	0.032	0.042	0.04	0.063	0.038	0.018	0.03	0.037	0.034
t33	0.015	0.038	0.029	0.03	0.032	0.062	0.009	0.031	0.031	0.042	0.036	0.015	0.031	0.048	0.032	0.029	0.034	0.044	0.021	0.038	0.024	0.037	0.031	0.047	0.066	0.029	0.019	0.024	0.045	0.03
