V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t194	-3.038	-1.579	0.053	0.606	0.958	1.114	1.896	-1.357	-0.068	-1.233	0.094	-0.727	2.016	-2.152	0.771	-0.46	-1.622	-0.517	-0.511	1.029	-0.197	-1.543	0.021	0.941	3.274	1.847	-2.165	0.803	1.699	0.04
t111	-3.384	2.56	-1.178	0.116	0.53	-0.394	-0.388	0.646	-2.02	-3.282	-0.597	-1.607	-0.809	1.239	-2.148	1.321	1.972	0.218	-2.53	-1.049	-0.411	1.423	-1.003	2.188	3.343	4.948	-0.967	-3.467	2.072	2.624
t4	-1.707	-1.837	-0.01	0.52	0.979	1.117	1.248	-1.436	-0.043	-1.297	0.121	-0.254	1.466	-1.504	0.305	-0.97	-0.904	-0.981	-0.738	0.878	-0.587	-0.648	-0.033	0.477	3.028	2.391	-1.066	0.53	1.531	-0.579
t140	-1.99	-2.335	-0.298	0.323	0.869	0.134	0.196	-0.86	-0.503	-1.129	0.072	-0.443	0.665	-0.775	-1.111	-0.591	1.193	-0.782	-1.391	0.213	-0.271	-0.051	-0.421	0.665	3.012	3.271	0.456	-0.208	1.896	0.19
t56	-2.06	-1.487	-0.287	0.425	0.715	0.655	0.667	-1.131	-0.541	-1.817	-0.077	-0.875	1.022	-1.025	-0.446	-0.613	-0.006	-0.513	-1.222	0.521	-0.344	-0.584	-0.345	1.12	3.355	2.864	0.289	-0.366	1.933	0.167
t186	-1.684	-1.067	-0.076	0.433	0.957	0.998	0.362	-1.25	-0.171	-1.199	0.069	-0.246	0.918	-1.093	-0.336	-0.889	0.195	-1.158	-0.883	0.734	-0.247	-0.328	-0.139	-0.88	2.769	3.715	-1.157	0.829	1.689	-0.871
t154	-0.742	-3.103	0.003	0.48	0.912	1.651	1.532	-1.971	0.189	-0.486	0.137	-0.067	2.717	-1.929	1.209	-1.738	-1.953	-1.5	-0.529	1.127	0.228	-0.602	0.02	0.005	3.17	1.637	-1.553	0.816	1.233	-0.897
t34	-1.419	-0.808	-0.468	0.165	0.895	0.823	-0.623	-0.487	-0.701	-1.917	0.284	0.351	0.114	0.362	-1.904	-0.646	2.325	-1.361	-1.77	-0.059	0.28	0.128	-0.519	-0.063	1.981	3.912	0.061	-0.584	1.66	-0.018
t177	-3.076	-0.67	-0.52	0.307	0.647	-0.366	-0.48	-0.152	-1.195	-2.016	-0.214	-0.931	-0.125	-0.104	-1.447	0.108	1.425	-0.054	-2.229	-0.328	-0.923	0.806	-0.685	1.577	3.596	4.203	1.376	-2.113	2.114	1.459
t144	-5.36	2.213	-0.709	0.59	0.292	-0.6	-0.141	0.244	-1.913	-2.869	-0.644	-1.977	0.268	-0.659	-0.29	0.884	-0.591	1.187	-2.228	-0.252	-1.969	0.713	-0.679	2.493	4.537	5.122	0.162	-3.461	2.694	2.839
t50	-2.99	0.319	-0.344	0.59	0.664	0.834	0.461	-0.803	-0.883	-1.887	-0.105	-0.54	1.357	-1.188	0.327	-0.49	-0.936	-0.095	-0.81	0.657	-0.891	-0.529	-0.263	0.39	3.505	3.714	-1.99	-0.877	2.141	0.651
t180	-4.149	0.792	-0.388	0.602	0.68	0.053	0.236	-0.284	-1.133	-2.632	-0.253	-1.01	0.396	-0.901	-0.197	0.467	-0.525	0.638	-1.612	0.116	-1.463	-0.182	-0.392	1.682	4.08	3.996	-0.86	-1.897	2.241	1.882
t17	-2.415	-1.526	-0.098	0.457	0.948	0.59	1.338	-1.101	-0.321	-1.828	-0.125	-0.854	0.886	-1.288	0.154	-0.291	-0.726	-0.53	-1.138	0.5	-0.858	-0.158	-0.186	1.531	3.552	2.626	-0.473	-0.345	1.526	0.15
t198	-1.858	-4.449	0.222	0.404	1.031	0.58	2.055	-1.718	0.177	-1.236	-0.061	-1.209	1.341	-2.061	0.629	-0.929	-0.877	-0.854	-0.656	0.834	-0.441	-0.436	-0.114	1.672	3.717	1.59	1.211	0.748	1.405	-0.731
t3	-2.534	-1.508	0.146	0.617	0.805	0.874	1.253	-1.471	-0.171	-1.785	-0.061	-0.931	1.329	-1.999	0.77	-0.746	-1.456	-0.471	-0.615	1.107	-0.684	-1.018	-0.005	0.863	3.555	2.828	-0.637	0.548	1.827	-0.435
t78	-0.769	-2.948	-0.175	0.347	0.73	1.117	0.747	-1.432	-0.318	-0.434	-0.003	-0.606	2.211	-1.062	0.448	-1.559	-0.614	-1.361	-0.539	0.816	0.033	0.54	-0.288	-0.389	3.129	2.35	-0.455	-0.275	1.545	-0.79
t65	-1.496	-1.24	-0.285	0.473	0.688	0.876	0.105	-1.29	-0.527	-0.436	-0.05	-0.098	1.834	-0.958	0.365	-1.424	-0.795	-1.076	-1.252	0.634	-0.716	0.595	-0.239	-0.491	3.477	3.493	-1.049	-0.734	1.685	-0.073
t83	0.108	-3.608	0.133	0.22	1.177	1.665	1.316	-1.931	0.482	-1.064	0.293	-0.055	1.413	-1.308	-0.174	-1.567	0.245	-2.194	-0.35	0.928	1.124	-0.553	-0.06	-0.925	1.998	2.103	-0.538	2.184	1.053	-2.119
t127	0.034	-6.133	0.536	0.397	1.373	1.648	2.813	-2.802	1.238	-0.275	0.285	-0.295	2.642	-3.079	1.446	-1.835	-1.811	-2.052	0.536	1.582	1.037	-1.411	0.291	-0.254	2.843	0.57	-1.211	3.466	0.835	-2.479
t145	-0.755	-2.345	0.107	0.248	1.17	2.324	1.49	-1.865	0.413	-0.298	0.215	-0.057	2.193	-1.436	0.447	-1.431	-0.197	-2.087	0.185	1.305	1.717	-1.401	0.005	-2.155	2.281	2.102	-3.81	2.631	1.086	-2.091
t94	-1.354	-4.102	0.332	0.505	1.064	0.867	1.952	-2.221	0.568	-1.21	0.11	-0.444	1.627	-2.542	0.704	-1.205	-1.372	-1.125	-0.685	1.22	-0.16	-1.521	0.12	1.638	3.519	1.426	0.294	1.683	1.319	-1.016
t89	-2.143	-2.015	-0.276	0.254	1.038	0.396	1.325	-0.875	-0.278	-2.17	-0.019	-1.168	0.451	-0.841	-1.074	0.159	0.762	-0.839	-1.325	0.065	0.319	-0.283	-0.368	1.536	2.657	2.498	0.207	0.268	1.542	0.195
t77	-0.812	-2.285	-0.392	0.304	0.792	0.544	0.234	-1.29	-0.467	-0.722	-0.059	-0.117	1.379	-0.714	-0.204	-1.192	0.035	-1.2	-1.283	0.35	-0.192	0.661	-0.362	0.258	3.384	3.21	-0.731	-0.663	1.516	0.01
t165	-3.619	0.348	-0.292	0.46	0.702	0.303	0.788	-0.684	-0.783	-2.698	-0.15	-1.136	0.414	-1.184	-0.721	0.317	0.158	-0.099	-1.417	0.428	-0.317	-1.274	-0.331	2.052	3.169	3.536	-0.616	-0.307	2.119	0.823
t104	-3.719	-1.759	-0.038	0.464	0.97	-0.008	0.849	-0.705	-0.551	-1.59	0.028	-0.54	0.447	-1.217	-0.185	-0.094	0.195	-0.175	-1.433	0.288	-1.056	-0.441	-0.253	1.766	3.747	3.096	-0.247	-0.611	1.796	0.968
t188	-0.92	-2.782	0.184	0.273	1.016	1.805	1.167	-1.749	0.325	-0.932	0.262	-0.141	1.733	-1.387	0.143	-1.286	-0.143	-1.908	-0.669	1.064	1.424	-1.176	-0.038	-0.611	2.361	1.997	-1.34	1.81	1.105	-1.591
t141	-0.774	-2.633	0.102	0.343	1.012	1.98	0.814	-1.583	0.284	-0.452	0.354	-0.005	2.099	-1.213	0.115	-1.454	-0.296	-1.918	-0.713	0.961	1.251	-0.67	-0.049	-1.65	2.174	2.089	-1.443	1.579	1.2	-1.51
t175	-0.56	-3.319	0.201	0.628	0.936	1.665	2.638	-2.381	0.457	-1.306	-0.107	-0.813	2.369	-2.454	1.744	-1.511	-3.204	-0.969	-0.419	1.416	-0.552	-1.149	0.185	1.619	3.919	0.575	-0.66	1.044	1.136	-1.14
t1	-4.066	1.082	-0.566	0.479	0.495	-0.19	0.251	-0.098	-1.448	-3.062	-0.392	-1.544	-0.01	-0.489	-0.844	0.645	0.145	0.636	-2.01	-0.1	-1.163	-0.142	-0.593	2.756	3.915	3.956	0.273	-2.326	2.345	2.043
t36	0.288	-3.583	0.209	0.369	0.954	2.203	1.38	-2.226	0.53	-0.372	0.198	-0.142	2.705	-1.747	1.06	-2.05	-1.484	-2.154	-0.197	1.4	0.997	-0.487	0.067	-1.261	2.612	1.543	-1.254	1.683	0.987	-2.237
t60	-2.201	-1.967	0.077	0.467	1.03	1.117	1.138	-1.042	-0.093	-1.417	0.275	-0.263	1.366	-1.225	0.144	-0.608	-0.454	-1.032	-0.859	0.708	-0.201	-0.518	-0.061	0.46	2.674	2.196	-1.052	0.276	1.428	-0.364
t146	-0.445	-2.446	-0.049	0.407	1.096	1.611	1.751	-2.159	0.339	-0.446	0.032	-0.035	1.911	-1.728	0.512	-1.575	-1.062	-1.606	-0.375	1.142	0.3	-1.145	0.034	-0.395	3.094	1.973	-2.538	1.932	1.217	-1.353
t182	-3.04	-1.905	-0.308	0.286	1.003	-0.206	0.934	-0.719	-0.621	-1.714	-0.041	-0.642	0.285	-1.002	-0.852	-0.049	1	-0.537	-1.323	0.024	-0.545	-0.113	-0.417	1.805	3.211	3.454	-0.162	-0.363	1.786	0.767
t131	-0.132	-4.631	0.254	0.223	1.299	1.856	2.346	-2.352	0.777	-1.163	0.213	-0.289	1.743	-2.057	0.47	-1.599	-0.469	-2.09	-0.019	1.163	1.218	-1.326	0.035	-0.095	2.435	1.317	-0.599	2.854	0.902	-2.296
t12	-1.596	-1.804	-0.277	0.344	0.761	0.636	0.6	-0.989	-0.573	-0.844	-0.154	-0.678	1.556	-0.789	0.342	-0.842	-0.693	-1.039	-1.291	0.342	-0.371	1.145	-0.338	0.442	3.454	3.008	-0.787	-1.166	1.41	0.186
t100	-1.427	-0.34	-0.412	0.354	0.935	1.086	0.748	-1.179	-0.448	-0.948	0.192	0.29	1.533	-0.916	-0.508	-0.831	0.322	-1.28	-0.288	0.718	0.679	-1.019	-0.207	-0.672	2.258	3.19	-4.222	0.884	1.737	-0.236
t102	0.325	-2.505	-0.078	0.26	1.197	1.727	1.038	-1.751	0.353	-0.225	0.486	0.715	1.837	-0.975	-0.447	-1.543	0.476	-2.315	-0.036	0.982	1.531	-0.982	-0.008	-1.761	1.588	2.071	-3.711	2.34	1.128	-1.724
t85	-0.676	-3.603	-0.02	0.319	1.008	1.482	1.001	-1.334	0.066	-0.683	0.299	-0.343	2.037	-1.125	0.085	-1.384	-0.161	-1.699	-0.482	0.715	0.424	0.378	-0.194	-0.892	2.222	2.012	-0.037	0.571	1.337	-1.329
t8	-1.255	-2.347	-0.298	0.271	0.973	0.977	0.88	-0.911	-0.32	-1.05	0.182	-0.295	1.276	-0.634	-0.673	-0.817	0.43	-1.333	-1.205	0.26	0.2	0.252	-0.344	0.444	2.383	2.328	-0.379	-0.139	1.409	-0.267
t179	-3.104	0.148	-0.541	0.362	0.536	0.233	-0.459	-0.264	-1.218	-1.705	-0.205	-0.687	0.584	0.042	-0.713	-0.165	0.469	-0.273	-2.425	-0.125	-0.804	0.668	-0.567	1.405	3.779	3.952	0.128	-2.485	1.875	1.55
t21	0.631	-5.428	0.387	0.338	1.373	2.219	2.644	-2.682	1.21	-0.375	0.427	-0.062	2.45	-2.411	0.655	-1.971	-1.122	-2.368	0.202	1.446	1.442	-1.642	0.227	-0.715	2.112	0.312	-0.992	3.663	0.79	-2.795
t161	-3.337	0.873	-0.63	0.414	0.744	0.04	-0.17	0.078	-1.292	-2.21	-0.032	-0.317	0.042	0.246	-1.219	0.224	0.878	-0.138	-2.259	-0.357	-1.396	0.61	-0.528	1.789	3.179	3.946	-0.509	-2.46	1.934	1.847
t189	-1.248	-1.252	-0.145	0.268	0.951	0.941	0.492	-1.384	-0.145	-1.003	-0.054	-0.474	0.785	-0.849	-0.715	-0.844	0.738	-1.417	-0.906	0.664	0.399	-0.289	-0.248	-0.838	2.759	3.533	-1.283	1.055	1.539	-1.033
t112	-0.701	-3.069	0.161	0.467	1.055	1.698	1.673	-2.186	0.49	-0.141	0.131	-0.279	2.171	-1.893	0.605	-1.61	-1.121	-1.535	-0.333	1.329	0.405	-1.298	0.088	-0.789	3.134	1.537	-1.778	2.079	1.301	-1.596
t28	-3.063	-1.064	-0.248	0.595	0.693	0.314	0.987	-0.965	-0.656	-1.514	-0.289	-1.357	1.325	-1.517	0.383	-0.456	-1.34	-0.103	-1.368	0.457	-1.615	0.409	-0.278	1.343	3.93	3.255	0.639	-1.108	2.007	0.597
t9	-2.21	-3.273	0.395	0.519	1.168	1.224	2.029	-1.952	0.502	-1.328	0.051	-0.685	1.519	-2.356	0.954	-0.807	-1.39	-0.838	-0.428	1.195	-0.135	-1.524	0.126	0.609	3.694	1.659	-0.783	1.706	1.306	-0.951
t137	-2.01	-3.223	0.186	0.464	1.174	0.605	1.764	-1.767	0.298	-1.166	0.043	-0.619	1.271	-2.261	0.364	-0.732	-0.691	-0.907	-0.297	0.941	-0.296	-0.925	0.002	0.552	3.309	2.403	-0.833	1.597	1.534	-0.786
t27	-1.832	-1.914	-0.23	0.256	0.928	0.747	0.548	-0.726	-0.423	-1.874	0.136	-0.485	0.694	-0.503	-0.912	-0.4	0.828	-1.085	-1.45	0.17	0.036	0.216	-0.388	0.905	2.483	2.796	0.563	-0.519	1.499	-0.068
t191	-1.129	-3.34	0.058	0.379	0.997	1.085	1.141	-1.246	0.098	-0.702	0.248	-0.624	1.651	-1.265	-0.191	-1.038	-0.196	-1.452	-0.835	0.679	0.119	0.193	-0.157	-0.062	2.363	1.87	0.434	0.602	1.395	-1.078
t105	-1.442	-1.594	0.021	0.457	0.913	0.866	0.973	-1.628	0.067	-1.413	-0.059	-0.492	0.919	-1.374	-0.102	-0.812	-0.68	-1.076	-1.514	0.761	-0.357	-0.626	-0.062	0.981	3.35	2.589	-0.094	0.607	1.37	-0.552
