Actinobacteria_Actinomycetales	Bacteroidetes_Bacteroidales	Firmicutes_Bacillales	Firmicutes_Clostridiales	Firmicutes_Erysipelotrichales	Firmicutes_Lactobacillales	Fusobacteria_Fusobacteriales	Proteobacteria_Burkholderiales	Proteobacteria_Campylobacterales	Proteobacteria_Enterobacteriales	Proteobacteria_Legionellales	Proteobacteria_Pseudomonadales	Proteobacteria_Rhizobiales	Tenericutes_Mycoplasmatales
Loxia_leucoptera	0.092	0.017	0.021	0.053	0.001	0.279	0.039	0.001	0.261	0.166	0.022	0.019	0.003	0.025
Pinicola_enucleator	0.083	0.007	0.086	0.021	0	0.025	0.005	0.004	0	0.749	0	0.009	0.012	0
Euphonia_fulvicrissa	0.272	0.005	0.076	0.016	0	0.012	0	0.057	0.001	0.192	0.007	0.054	0.31	0
Fringilla_montifringilla	0.027	0.01	0.023	0.052	0	0.598	0.011	0.002	0	0.018	0.001	0.23	0.028	0
Anthus_novaeseelandiae	0.029	0	0.029	0.019	0	0.373	0	0.077	0	0.243	0	0.224	0.003	0.003
Motacilla_tschutschensis	0.045	0.006	0.014	0.009	0	0.363	0.013	0.001	0	0.523	0.001	0.007	0	0.019
Passer_domesticus	0.086	0.003	0.042	0.135	0	0.098	0.009	0.03	0.093	0.435	0	0.046	0.02	0.002
Passer_griseus	0.002	0.193	0.014	0.103	0.019	0.14	0.12	0	0.014	0.39	0	0.003	0.001	0.001
Lagonosticta_rhodopareia	0.007	0	0.004	0.002	0.001	0.052	0	0.001	0.313	0.601	0	0.009	0.009	0
Lagonosticta_rubricata	0.064	0	0.023	0.178	0.002	0.124	0.004	0.104	0.348	0.007	0	0.085	0.048	0.012
Uraeginthus_angolensis	0.01	0	0.003	0.001	0	0.588	0	0.003	0.325	0.004	0	0.063	0.003	0
Pytilia_afra	0.007	0.001	0.002	0.012	0.001	0.015	0	0.001	0.932	0.024	0	0.003	0.003	0
Hypargos_niveoguttatus	0.07	0.003	0.06	0.068	0.001	0.046	0.007	0.021	0.241	0.331	0.025	0.104	0.019	0.005
Pytilia_melba	0.152	0.008	0.002	0.048	0.01	0.256	0	0.043	0.171	0.279	0	0.021	0.01	0
Estrilda_melanotis	0.206	0	0.014	0.01	0	0.005	0	0.053	0.156	0.114	0.036	0.083	0.001	0.321
Estrilda_astrild	0.013	0	0.01	0.051	0	0.431	0	0.013	0.391	0.014	0	0.075	0.002	0
Lonchura_leucogastra	0.001	0.014	0	0.007	0.001	0.225	0.029	0	0.489	0.233	0	0	0	0
Lonchura_fringilloides	0.036	0.003	0.008	0.009	0	0.464	0	0.017	0.387	0.045	0	0.018	0.012	0.001
Vidua_funerea	0.103	0	0.03	0.081	0	0.027	0.001	0.071	0.353	0.238	0.002	0.026	0.069	0
Vidua_paradisaea	0.063	0.005	0.042	0.075	0	0.108	0.004	0.124	0	0.44	0.001	0.013	0.124	0
Euplectes_capensis	0.144	0.037	0.067	0.059	0.004	0.25	0.012	0.053	0.103	0.058	0.004	0.129	0.072	0.007
Ploceus_velatus	0.016	0.009	0.003	0.057	0	0.217	0.332	0.019	0.194	0.114	0	0.02	0.018	0
Ploceus_ocularis	0.047	0.001	0.054	0.017	0	0.482	0.004	0.027	0.002	0.094	0	0.234	0.034	0.004
Dinemellia_dinemelli	0.033	0	0.008	0.006	0.001	0.179	0	0.193	0	0.111	0.04	0.227	0.204	0
Plocepasser_mahali	0.179	0.022	0.1	0.079	0	0.413	0.001	0.005	0	0.009	0	0.162	0.031	0
Anthreptes_collaris	0.041	0	0.032	0.32	0.004	0.029	0.079	0.027	0.001	0.091	0	0.337	0.038	0.002
Dicaeum_trigonostigma	0.004	0.001	0.006	0.003	0	0.002	0.001	0.002	0.821	0.115	0	0.012	0.002	0.032
Chloropsis_palawanensis	0.04	0.251	0.058	0.193	0.018	0.096	0.02	0.036	0.002	0.121	0	0.086	0.029	0.051
Cinnyricinclus_leucogaster	0.079	0.001	0.084	0.005	0	0.017	0.007	0.056	0	0.047	0.001	0.693	0.004	0.006
