V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t3	-1.102	-0.508	0.146	-0.199	0.483	-0.259	0.482	1.775	-0.153	-0.903	0.733	0.361	-1.386	1.556	1.851	-0.018	0.479	0.425	-0.355	-1.146	-1.104	0.923	-0.776	1.007	-1.9	0.603	-0.365	-0.559	0.64	-0.731
t135	-1.026	-0.897	0.263	-0.363	1.252	-0.338	0.673	0.254	-0.401	-0.75	-0.219	0.453	-1.514	1.772	1.935	-0.009	0.67	0.262	0.259	-0.91	-0.814	-0.089	-1.297	0.998	-2.443	1.216	0.135	-0.026	1.255	-0.303
t122	-0.802	-2.433	1.121	-1.732	2.631	-1.75	1.203	-4.37	-0.376	-0.179	-2.033	0.428	-0.938	2.157	2.076	-0.051	0.555	-0.487	1.609	0.55	0.827	-1.145	-3.243	-0.534	-3	2.704	2.074	0.503	3.71	0.906
t141	-1.325	-1.747	1.031	-1.402	1.525	-2.051	0.892	0.861	-0.743	-0.394	-0.79	-0.191	-1.048	1.659	1.899	-0.058	0.32	-0.269	1.683	-0.249	0.471	0.028	-1.926	-0.054	-2.296	1.368	0.928	-0.145	1.766	0.252
t76	0.071	-0.939	-0.524	-0.555	-0.589	0.539	0.554	-1.94	0.511	-1.171	1.08	1.175	-2.56	2.192	1.9	-0.204	-0.023	0.598	-2.488	-0.968	-1.897	1.697	0.237	1.665	-1.888	2.173	0.103	0.211	1.588	-0.551
t26	-1.245	-1.314	0.417	-0.91	0.955	-0.851	0.762	1.352	-0.683	-0.634	0.182	0.16	-1.485	1.832	1.859	-0.268	0.537	-0.015	0.815	-0.6	-0.338	0.189	-1.381	-0.862	-2.002	1.708	0.45	-0.432	1.641	0.157
t191	-0.504	-1.036	-0.196	-0.565	0.051	0.212	0.646	-0.236	-0.051	-0.94	0.788	0.805	-2.092	2.114	1.885	-0.313	0.348	0.381	-1.232	-0.735	-1.263	0.865	-0.628	-0.151	-2.012	2.234	0.274	-0.213	1.709	-0.148
t180	-1.062	-1.445	0.911	-1	2.165	-0.226	0.916	-0.353	-0.761	-0.499	-0.444	0.56	-1.147	2.12	1.895	-0.321	0.613	-0.147	0.363	-0.453	-0.012	-0.821	-2.101	-2.286	-2.532	2.275	1.117	-0.577	2.564	0.686
t74	-1.301	-1.658	0.884	-1.172	1.429	-1.601	0.833	1.331	-0.938	-0.502	-0.286	-0.097	-1.522	1.707	1.875	-0.077	0.437	-0.128	1.57	-0.644	0.133	-0.285	-1.335	0.278	-2.211	1.205	0.523	-0.044	1.308	0.286
t80	0.281	-1.349	-0.418	-0.647	-0.276	0.752	0.752	-2.593	0.158	-1.037	0.686	1.311	-3.101	2.63	1.978	-0.46	0.216	0.469	-2.379	-0.499	-1.657	0.62	-0.377	0.393	-2.55	3.513	0.703	0.466	2.217	0.189
t103	-1.798	-1.854	1.422	-1.441	2.727	-1.859	1.04	1.3	-1.337	-0.187	-1.307	-0.327	-0.673	1.701	1.905	-0.165	0.819	-0.576	2.815	-0.209	0.994	-1.302	-2.799	-1.85	-2.491	1.577	1.253	-0.408	2.232	0.793
t13	-0.109	-1.071	-0.168	-0.598	0.938	0.844	0.779	-2.587	-0.12	-0.925	0.278	1.337	-2.47	2.376	1.944	-0.277	0.602	0.364	-1.708	-1.116	-1.373	0.278	-0.499	-0.108	-2.382	2.577	0.569	0.079	2.427	0.114
