feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t3	-1.268	-0.775	0.437	-0.472	1.227	-0.422	0.591	1.124	-0.338	-0.763	0.269	0.31	-0.989	1.573	1.853	0.011	0.487	0.214	0.27	-1.007	-0.709	0.363	-1.247	0.532	-2.008	0.638	-0.019	-0.522	1.086	-0.45
t135	-1.207	-0.871	0.452	-0.494	1.436	-0.398	0.648	0.643	-0.401	-0.724	-0.006	0.375	-1.062	1.665	1.88	-0.002	0.546	0.185	0.346	-0.933	-0.649	0.078	-1.382	0.462	-2.214	0.884	0.141	-0.379	1.295	-0.317
t122	-1.087	-1.344	0.725	-0.919	1.802	-0.824	0.805	-0.884	-0.337	-0.559	-0.542	0.387	-0.912	1.795	1.927	-0.016	0.475	-0.034	0.641	-0.455	-0.166	-0.191	-1.978	0.066	-2.397	1.376	0.753	-0.204	2.048	0.04
t141	-1.471	-1.217	0.885	-0.913	1.787	-1.205	0.752	1.13	-0.633	-0.525	-0.387	0.024	-0.696	1.567	1.868	-0.003	0.472	-0.087	1.245	-0.628	0.024	-0.084	-1.862	-0.132	-2.205	0.837	0.496	-0.484	1.499	-0.055
t76	-0.9	-0.886	0.249	-0.567	0.923	-0.146	0.613	-0.015	-0.12	-0.843	0.377	0.582	-1.315	1.785	1.868	-0.063	0.331	0.267	-0.461	-0.922	-0.944	0.599	-0.978	0.571	-2.038	1.166	0.159	-0.338	1.425	-0.384
t26	-1.291	-1.049	0.513	-0.709	1.392	-0.607	0.694	0.899	-0.504	-0.671	0.024	0.263	-1.016	1.689	1.861	-0.085	0.515	0.064	0.61	-0.784	-0.451	0.102	-1.482	-0.168	-2.091	1.095	0.306	-0.464	1.486	-0.144
t191	-1.128	-1.017	0.43	-0.664	1.202	-0.409	0.672	0.537	-0.344	-0.726	0.162	0.398	-1.098	1.762	1.864	-0.108	0.426	0.136	0.138	-0.742	-0.603	0.251	-1.381	-0.127	-2.111	1.253	0.319	-0.457	1.543	-0.18
t180	-1.324	-1.029	0.717	-0.698	1.82	-0.421	0.713	0.615	-0.528	-0.63	-0.107	0.341	-0.768	1.709	1.858	-0.066	0.515	0.033	0.556	-0.786	-0.34	-0.196	-1.731	-0.531	-2.199	1.043	0.421	-0.593	1.643	-0.044
t74	-1.349	-1.287	0.734	-0.887	1.679	-0.962	0.757	0.69	-0.655	-0.584	-0.293	0.129	-1	1.649	1.875	-0.001	0.494	-0.035	1.122	-0.743	-0.175	-0.237	-1.594	0.265	-2.178	0.952	0.42	-0.233	1.452	-0.01
t80	-0.805	-0.998	0.206	-0.57	0.909	-0.045	0.659	-0.239	-0.21	-0.832	0.291	0.631	-1.547	1.91	1.891	-0.123	0.39	0.265	-0.474	-0.83	-0.959	0.339	-1.048	0.465	-2.218	1.534	0.27	-0.185	1.529	-0.216
t103	-1.662	-1.211	0.953	-0.896	2.08	-1.159	0.768	1.381	-0.789	-0.488	-0.494	-0.062	-0.541	1.517	1.862	0.005	0.606	-0.162	1.666	-0.673	0.119	-0.417	-2.054	-0.349	-2.18	0.722	0.483	-0.525	1.49	0.005
t13	-0.895	-0.855	0.23	-0.513	1.267	0.07	0.65	-0.386	-0.235	-0.823	0.227	0.694	-1.358	1.825	1.88	-0.046	0.507	0.266	-0.39	-1.086	-0.957	0.302	-1.009	0.443	-2.131	1.177	0.171	-0.303	1.579	-0.303
t163	-1.32	-0.552	0.342	-0.333	1.388	-0.226	0.541	1.306	-0.323	-0.813	0.347	0.392	-0.871	1.502	1.831	0.073	0.516	0.289	0.15	-1.293	-0.854	0.419	-1.012	0.697	-1.958	0.293	-0.224	-0.635	0.954	-0.629
t47	-1.448	-0.854	0.599	-0.521	1.49	-0.416	0.624	1.466	-0.523	-0.709	0.197	0.206	-0.833	1.574	1.845	-0.014	0.51	0.108	0.677	-0.94	-0.554	-0.026	-1.508	0.112	-2.022	0.658	0.066	-0.575	1.089	-0.281
t61	-1.615	-1.004	0.889	-0.737	2.074	-0.897	0.701	1.1	-0.604	-0.556	-0.322	0.072	-0.374	1.477	1.857	0.06	0.57	-0.06	1.261	-0.777	-0.097	-0.208	-1.982	-0.107	-2.159	0.48	0.34	-0.611	1.429	-0.204
t142	-1.505	-0.622	0.515	-0.455	1.503	-0.615	0.537	1.299	-0.287	-0.745	0.199	0.177	-0.466	1.32	1.825	0.175	0.469	0.199	0.641	-1.156	-0.628	0.558	-1.337	1.122	-1.868	-0.138	-0.203	-0.663	0.888	-0.741
t185	-1.502	-1.013	0.695	-0.689	1.872	-0.657	0.697	1.208	-0.671	-0.616	-0.218	0.159	-0.735	1.582	1.847	-0.013	0.581	0.013	1.044	-0.898	-0.29	-0.257	-1.646	-0.094	-2.154	0.755	0.26	-0.5	1.376	-0.142
t46	-1.406	-1.37	0.78	-0.965	1.516	-0.953	0.778	1.171	-0.735	-0.562	-0.155	0.04	-1.107	1.708	1.865	-0.124	0.492	-0.115	1.241	-0.608	-0.095	-0.282	-1.736	-0.404	-2.081	1.285	0.509	-0.368	1.507	0.172
t108	-1.449	-0.966	0.819	-0.738	1.741	-0.954	0.656	0.895	-0.383	-0.619	-0.154	0.115	-0.589	1.462	1.86	0.079	0.459	0.009	0.919	-0.823	-0.238	0.146	-1.723	0.442	-2.045	0.456	0.235	-0.557	1.29	-0.349
t147	-1.607	-0.698	0.723	-0.486	1.892	-0.788	0.605	1.595	-0.474	-0.649	-0.121	0.133	-0.378	1.382	1.843	0.145	0.518	0.104	0.955	-1.054	-0.341	0.074	-1.582	0.444	-2.104	0.057	0.002	-0.711	1.035	-0.52
t127	-1.246	-0.916	0.442	-0.576	1.501	-0.292	0.661	0.702	-0.478	-0.73	0.074	0.385	-1.053	1.679	1.859	-0.018	0.534	0.143	0.394	-1.029	-0.65	0.011	-1.276	0.212	-2.077	0.889	0.148	-0.402	1.35	-0.244
