V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t146	-3.738	-4.58	-4.051	-4.319	-3.886	-3.148	-7.167	-1.223	-5.06	-3.663	-7.311	-4.83	-4.626	-1.793	-5.3	-4.413	-2.641	-3.681	-3.65	-5.945	-7.082	-3.239	-4.662	-4.682	-4.645	-3.936	-2.457	-5.407	-3.559	-4.504
t115	-4	-4.513	-9.734	-4.984	-11.738	-10.535	-2.232	-11.39	-5.526	-6.265	-4.08	-6.17	-5.901	-7.824	-2.71	-3.853	-8.275	-3.748	-2.563	-1.188	-5.458	-9.655	-3.454	-9.172	-8.394	-9.141	-9.225	-1.954	-1.854	-10.137
t116	-3.586	-4.404	-4.18	-4.173	-4.067	-3.262	-6.965	-1.439	-4.785	-3.608	-6.921	-4.741	-4.324	-1.842	-5.109	-4.263	-2.287	-3.61	-3.771	-5.712	-7.174	-3.536	-4.476	-4.391	-4.882	-4.058	-2.146	-5.446	-3.359	-4.665
t128	-2.743	-3.487	-4.648	-3.431	-5.151	-4.229	-4.668	-3.139	-4.098	-3.35	-5.286	-4.152	-3.906	-2.478	-3.483	-3.187	-3.153	-2.658	-2.327	-3.539	-5.599	-4.087	-3.243	-4.856	-4.695	-4.401	-3.292	-3.402	-1.99	-5.097
t7	-2.904	-3.619	-5.603	-3.687	-6.529	-5.613	-3.766	-4.995	-4.459	-3.89	-4.991	-4.458	-4.558	-3.615	-3.069	-3.148	-4.886	-2.66	-1.669	-2.637	-4.976	-4.957	-3.119	-6.204	-5.075	-5.245	-5.146	-2.388	-1.782	-6.008
t108	-3.005	-3.789	-4.26	-3.651	-4.458	-3.609	-5.668	-2.156	-4.285	-3.324	-5.931	-4.288	-3.982	-2.008	-4.128	-3.556	-2.623	-2.972	-2.824	-4.416	-6.198	-3.646	-3.693	-4.498	-4.623	-4.067	-2.594	-4.209	-2.509	-4.728
t121	-3.035	-3.824	-4.203	-3.655	-4.4	-3.525	-5.699	-2.067	-4.324	-3.324	-6.038	-4.301	-4.052	-1.974	-4.177	-3.6	-2.669	-3.024	-2.867	-4.588	-6.228	-3.589	-3.742	-4.511	-4.536	-4.034	-2.601	-4.292	-2.543	-4.67
t106	-2.947	-3.733	-4.239	-3.586	-4.506	-3.642	-5.413	-2.257	-4.29	-3.298	-5.891	-4.235	-4.06	-2.051	-3.987	-3.476	-2.877	-2.891	-2.612	-4.306	-5.971	-3.589	-3.605	-4.658	-4.46	-4.049	-2.845	-3.969	-2.396	-4.693
t97	-2.82	-3.586	-4.436	-3.478	-4.817	-3.907	-5.064	-2.679	-4.106	-3.302	-5.52	-4.176	-3.94	-2.227	-3.731	-3.313	-2.922	-2.8	-2.497	-3.943	-5.871	-3.889	-3.404	-4.658	-4.623	-4.223	-2.913	-3.756	-2.166	-4.908
t80	-2.823	-3.591	-4.413	-3.492	-4.845	-3.966	-4.961	-2.772	-4.259	-3.316	-5.597	-4.164	-4.091	-2.293	-3.647	-3.281	-3.299	-2.724	-2.242	-3.802	-5.558	-3.737	-3.376	-4.906	-4.404	-4.187	-3.304	-3.444	-2.131	-4.842
t102	-4.739	-5.633	-4.239	-5.254	-3.735	-3.073	-8.88	-0.727	-6.021	-4.314	-8.839	-5.671	-5.491	-1.933	-6.728	-5.541	-2.849	-4.709	-4.861	-7.727	-8.378	-3.327	-5.885	-5.079	-5.129	-4.201	-2.5	-6.977	-4.854	-4.703
t54	-3.94	-4.796	-4.066	-4.504	-3.828	-3.105	-7.545	-1.091	-5.237	-3.786	-7.622	-4.995	-4.816	-1.795	-5.6	-4.643	-2.685	-3.909	-3.879	-6.332	-7.368	-3.248	-4.913	-4.733	-4.73	-3.971	-2.424	-5.742	-3.823	-4.529
t88	-2.795	-3.488	-5.607	-3.569	-6.515	-5.538	-3.826	-4.936	-4.247	-3.804	-4.76	-4.378	-4.221	-3.531	-3.009	-3.071	-4.344	-2.64	-1.944	-2.611	-5.16	-5.099	-3.025	-5.762	-5.233	-5.26	-4.644	-2.617	-1.689	-6.032
t189	-2.799	-3.561	-4.592	-3.51	-5.086	-4.242	-4.753	-3.116	-4.241	-3.377	-5.421	-4.178	-4.116	-2.476	-3.519	-3.21	-3.515	-2.653	-2.043	-3.468	-5.416	-3.908	-3.289	-5.09	-4.533	-4.323	-3.575	-3.171	-2.048	-5.022
