V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t111	-0.374	-1.41	-0.074	3.078	0.493	-0.932	0.246	-0.686	0.338	-0.529	0.275	0.609	-0.393	0.78	-0.863	1.672	-1.067	-1.013	-0.913	-0.792	-0.323	-0.112	-0.76	-1.729	-0.778	2.175	2.051	-1.139	-0.722	2.886
t103	0.711	-0.803	0.305	0.802	1.351	0.649	-1.382	1.391	-1.215	1.293	-0.608	0.763	-0.187	0.816	-0.299	-0.707	-0.7	-2.86	0.44	0.598	-2.583	0.879	-0.295	-1.22	-0.282	2.636	0.178	-0.48	0.165	0.639
t55	0.691	-0.782	0.339	0.823	1.356	0.66	-1.372	1.392	-1.167	1.313	-0.573	0.721	-0.16	0.842	-0.274	-0.666	-0.673	-2.819	0.466	0.614	-2.585	0.752	-0.272	-1.18	-0.258	3.278	0.187	-1.499	0.158	0.685
t43	0.613	-0.821	0.312	0.924	1.304	0.571	-1.303	1.275	-1.089	1.17	-0.532	0.684	-0.177	0.835	-0.311	-0.557	-0.698	-2.727	0.393	0.534	-2.489	0.639	-0.304	-1.207	-0.291	3.359	0.265	-1.272	0.097	0.796
t78	-0.325	-1.361	-0.023	3.015	0.531	-0.849	0.215	-0.586	0.309	-0.318	0.267	0.633	-0.358	0.806	-0.813	1.613	-1.025	-1.058	-0.835	-0.714	-0.397	-0.081	-0.716	-1.681	-0.732	2.584	2.006	-2.278	-0.662	2.83
t81	0.262	-1.036	0.18	1.812	0.989	-0.006	-0.642	0.522	-0.517	0.671	-0.202	0.732	-0.247	0.826	-0.512	0.352	-0.829	-2.04	-0.116	0.028	-1.589	0.479	-0.467	-1.413	-0.466	2.744	1.019	-1.993	-0.182	1.636
t136	-0.483	-1.458	-0.095	3.298	0.419	-1.075	0.392	-0.88	0.506	-0.728	0.374	0.562	-0.401	0.789	-0.904	1.915	-1.089	-0.821	-1.026	-0.916	-0.116	-0.278	-0.794	-1.755	-0.815	2.43	2.223	-1.582	-0.816	3.117
t117	0.605	-0.817	0.323	0.953	1.305	0.564	-1.289	1.261	-1.058	1.149	-0.51	0.667	-0.167	0.846	-0.304	-0.518	-0.689	-2.696	0.393	0.531	-2.468	0.591	-0.297	-1.194	-0.285	3.559	0.284	-1.661	0.085	0.832
t80	0.881	-0.651	0.436	0.377	1.522	0.979	-1.687	1.803	-1.445	1.708	-0.728	0.721	-0.103	0.865	-0.148	-1.121	-0.583	-3.162	0.751	0.898	-3.046	0.844	-0.167	-1.053	-0.146	3.869	-0.184	-2.036	0.33	0.266
t171	0.961	-0.612	0.458	0.229	1.581	1.083	-1.794	1.941	-1.552	1.822	-0.789	0.741	-0.092	0.865	-0.113	-1.277	-0.562	-3.287	0.836	0.989	-3.189	0.938	-0.138	-1.025	-0.115	3.782	-0.304	-1.889	0.39	0.114
t110	-0.391	-1.421	-0.077	3.159	0.467	-0.971	0.317	-0.737	0.385	-0.492	0.304	0.642	-0.394	0.783	-0.873	1.751	-1.073	-0.957	-0.95	-0.825	-0.239	-0.077	-0.767	-1.745	-0.786	2.098	2.127	-1.493	-0.726	2.956
t89	1.357	-0.393	0.594	-0.583	1.887	1.653	-2.366	2.69	-2.114	2.522	-1.108	0.82	-0.018	0.877	0.089	-2.132	-0.431	-3.953	1.32	1.49	-3.991	1.336	0.029	-0.848	0.063	3.851	-0.966	-1.721	0.721	-0.695
t35	-0.533	-1.488	-0.116	3.396	0.373	-1.148	0.473	-0.973	0.567	-0.768	0.407	0.573	-0.414	0.782	-0.933	2.011	-1.11	-0.746	-1.092	-0.98	-0.015	-0.293	-0.818	-1.787	-0.84	2.339	2.311	-1.547	-0.847	3.209
t11	-0.083	-1.238	0.042	2.489	0.721	-0.504	-0.168	-0.128	-0.059	0.021	0.053	0.661	-0.327	0.8	-0.701	1.058	-0.958	-1.49	-0.544	-0.414	-0.913	0.152	-0.626	-1.582	-0.635	2.459	1.57	-1.492	-0.474	2.306
t8	1.083	-0.569	0.467	0.004	1.663	1.224	-1.958	2.135	-1.732	1.951	-0.896	0.782	-0.092	0.85	-0.078	-1.526	-0.547	-3.488	0.945	1.108	-3.394	1.127	-0.111	-1.006	-0.086	3.305	-0.487	-1.03	0.476	-0.128
t16	0.522	-0.88	0.278	1.188	1.219	0.408	-1.107	1.062	-0.921	1.036	-0.433	0.707	-0.194	0.836	-0.365	-0.287	-0.732	-2.526	0.248	0.392	-2.219	0.614	-0.347	-1.264	-0.338	3.139	0.49	-1.591	0.021	1.042
t176	2.142	0.063	0.889	-2.27	2.525	2.827	-3.586	4.225	-3.241	3.835	-1.747	0.883	0.145	0.915	0.516	-3.879	-0.147	-5.304	2.335	2.525	-5.682	1.96	0.382	-0.448	0.439	4.615	-2.367	-1.764	1.359	-2.341
t28	0.271	-1.017	0.19	1.665	1.028	0.06	-0.771	0.606	-0.589	0.599	-0.247	0.649	-0.244	0.823	-0.492	0.214	-0.817	-2.132	-0.046	0.085	-1.751	0.349	-0.453	-1.374	-0.451	3.132	0.877	-1.504	-0.185	1.521
t137	-0.171	-1.27	0.029	2.61	0.669	-0.594	-0.084	-0.251	0.045	-0.102	0.113	0.614	-0.332	0.804	-0.728	1.193	-0.972	-1.374	-0.611	-0.49	-0.806	-0.005	-0.648	-1.595	-0.658	2.786	1.663	-1.744	-0.537	2.445
t91	2.342	0.166	0.946	-2.716	2.683	3.116	-3.912	4.609	-3.55	4.127	-1.928	0.9	0.171	0.909	0.61	-4.346	-0.091	-5.668	2.581	2.777	-6.122	2.142	0.458	-0.363	0.521	4.586	-2.738	-1.279	1.513	-2.782
t75	1.077	-0.548	0.496	-0.022	1.676	1.253	-1.979	2.164	-1.721	1.986	-0.886	0.747	-0.071	0.868	-0.054	-1.537	-0.524	-3.488	0.982	1.138	-3.437	1.031	-0.09	-0.969	-0.064	3.826	-0.514	-1.695	0.479	-0.131
t6	0.109	-1.123	0.118	2.06	0.879	-0.209	-0.476	0.259	-0.343	0.361	-0.108	0.673	-0.285	0.809	-0.593	0.615	-0.886	-1.831	-0.287	-0.152	-1.346	0.295	-0.537	-1.48	-0.54	2.718	1.214	-1.49	-0.315	1.89
t122	1.494	-0.309	0.649	-0.897	2.008	1.867	-2.604	2.969	-2.314	2.706	-1.221	0.804	0.013	0.887	0.169	-2.451	-0.377	-4.196	1.51	1.679	-4.311	1.398	0.095	-0.766	0.133	4.108	-1.235	-1.67	0.824	-0.993
t130	0.481	-0.889	0.274	1.2	1.205	0.385	-1.108	1.028	-0.893	0.95	-0.419	0.656	-0.196	0.837	-0.372	-0.264	-0.735	-2.499	0.238	0.372	-2.22	0.494	-0.354	-1.258	-0.345	3.428	0.489	-1.551	-0.012	1.073
t148	0.005	-1.179	0.083	2.273	0.8	-0.356	-0.325	0.064	-0.195	0.18	-0.023	0.654	-0.303	0.808	-0.645	0.837	-0.919	-1.655	-0.412	-0.282	-1.135	0.19	-0.579	-1.525	-0.585	2.701	1.388	-1.575	-0.398	2.103
t196	1.235	-0.468	0.542	-0.332	1.794	1.468	-2.2	2.449	-1.943	2.235	-1.012	0.781	-0.048	0.868	0.019	-1.866	-0.479	-3.748	1.162	1.325	-3.739	1.207	-0.03	-0.908	0	3.72	-0.767	-1.437	0.605	-0.446
