feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t199	0.452	-0.029	-0.775	0.552	-0.88	0.12	-1.51	1.37	0.476	-0.073	0.679	-0.715	0.726	-0.961	0.896	2.489	1.094	-2.226	-0.894	-0.148	0.128	0.711	-1.013	-0.041	-0.391	0.826	-0.296	0.075	-0.065	-0.584
t85	0.41	1.026	-1.017	0.488	-1.014	1.125	-1.605	1.181	1.187	-0.167	0.756	-0.668	0.414	-1.834	0.774	2.786	1.115	-2.38	-1.571	-0.293	1.094	0.619	-1.381	0.096	-0.736	0.64	-0.218	-0.279	-0.23	-0.331
t147	0.331	0.705	-0.709	0.52	-0.535	0.893	-1.718	0.73	-0.218	0.209	0.548	-0.669	0.453	-0.801	0.79	1.777	0.91	-2.246	-1.309	-0.176	0.081	0.504	-0.559	-0.084	0.068	1.093	-0.499	0.259	-0.564	0.207
t39	0.33	0.875	-0.77	0.498	-0.573	1.235	-1.712	0.754	-0.142	0.14	0.615	-0.671	0.456	-0.639	0.777	1.878	0.875	-2.342	-1.283	-0.292	0.232	0.46	-0.692	-0.039	-0.146	0.96	-0.503	0.162	-0.573	0.122
t3	0.296	0.256	-0.586	0.466	-0.404	1.367	-1.767	0.789	-0.74	0.483	0.285	-0.767	0.321	-1.028	0.723	1.422	1.028	-2.135	-1.463	-0.205	-0.082	0.466	-0.361	-0.171	0.479	1.841	-0.528	0.638	-0.744	0.113
t88	0.317	1.133	-0.902	0.506	-0.965	1.437	-1.761	0.844	0.513	-0.027	0.695	-0.681	0.488	-0.724	0.782	2.235	0.825	-2.455	-1.052	-0.538	0.681	0.491	-1.105	-0.017	-0.622	0.591	-0.385	0.018	-0.474	0.142
t70	0.294	0.58	-0.679	0.463	-0.622	1.572	-1.792	1.155	-0.471	0.292	0.374	-0.975	0.384	-1.123	0.705	1.614	1.023	-2.152	-1.332	-0.305	-0.004	0.424	-0.491	-0.033	0.253	1.455	-0.49	0.468	-0.684	0.086
t187	0.308	1.259	-0.844	0.511	-0.495	1.374	-1.741	0.282	0.012	0.065	0.819	-0.461	0.402	-0.229	0.789	1.852	0.674	-2.533	-1.359	-0.312	0.377	0.426	-0.724	0.03	-0.355	0.565	-0.586	-0.087	-0.623	0.596
t7	0.35	0.407	-0.575	0.547	-0.182	0.94	-1.68	0.468	-0.621	0.432	0.292	-0.586	0.317	-1.189	0.795	1.61	1.072	-2.045	-1.64	-0.017	0.177	0.535	-0.42	-0.447	0.426	1.688	-0.489	0.591	-0.626	-0.143
t142	0.412	0.884	-0.809	0.64	-0.268	1.293	-1.594	0.397	0.217	-0.163	0.905	-0.554	0.649	-0.339	0.921	2.237	0.738	-2.429	-1.195	-0.152	0.458	0.581	-0.923	-0.334	-0.681	0.122	-0.48	-0.165	-0.266	-0.073
t49	0.325	0.792	-0.81	0.459	-0.914	1.241	-1.714	0.916	0.263	0.223	0.359	-0.629	0.301	-1.523	0.733	2.136	1.121	-2.175	-1.522	-0.261	0.674	0.505	-0.912	-0.171	-0.093	1.424	-0.333	0.295	-0.551	-0.169
t28	0.417	-0.011	-0.871	0.497	-1.15	0.532	-1.554	1.391	0.924	-0.062	0.708	-0.671	0.684	-1.256	0.846	2.623	1.044	-2.334	-1.012	-0.186	0.241	0.724	-1.158	0.049	-0.523	0.805	-0.263	-0.079	-0.077	-0.287
t119	0.391	1.029	-0.893	0.539	-0.64	0.32	-1.568	0.684	0.495	-0.107	0.896	-0.42	0.502	-0.52	0.845	2.316	0.832	-2.411	-1.217	-0.033	0.167	0.559	-0.894	0.157	-0.485	0.396	-0.468	-0.26	-0.31	0.128
t114	0.311	0.757	-0.731	0.505	-0.484	1.847	-1.759	0.718	-0.276	0.16	0.563	-0.817	0.385	-0.847	0.761	1.763	0.921	-2.306	-1.426	-0.369	0.401	0.464	-0.686	-0.18	-0.073	1.064	-0.478	0.299	-0.619	0.123
t121	0.291	0.767	-0.738	0.449	-0.929	1.001	-1.779	0.979	-0.212	0.259	0.312	-0.751	0.411	-0.779	0.714	1.783	1.032	-2.198	-1.45	-0.372	0.275	0.401	-0.669	0.184	0.092	1.479	-0.481	0.388	-0.652	0.183
t52	0.342	0.909	-0.66	0.57	-0.063	1.736	-1.763	0.454	-0.501	0.262	0.511	-0.786	0.346	-1.248	0.784	1.673	0.936	-2.214	-1.537	-0.312	0.557	0.49	-0.557	-0.452	0.124	1.149	-0.484	0.398	-0.667	-0.006
t43	0.321	0.792	-0.727	0.502	-0.59	1.385	-1.764	0.896	-0.253	0.207	0.545	-0.803	0.446	-0.922	0.763	1.795	0.917	-2.302	-1.056	-0.408	0.246	0.469	-0.673	-0.159	-0.066	1.124	-0.469	0.341	-0.623	0.056
t86	0.257	1.226	-0.699	0.471	-0.76	0.733	-1.796	0.469	-0.521	0.384	0.19	-0.47	0.227	-0.54	0.711	1.577	0.982	-2.113	-1.545	-0.188	0.189	0.319	-0.512	0.07	0.222	1.643	-0.545	0.557	-0.835	0.307
t138	0.313	0.6	-0.713	0.482	-0.618	1.062	-1.719	0.657	-0.266	0.282	0.492	-0.552	0.379	-0.612	0.77	1.73	0.902	-2.283	-1.271	-0.223	0.13	0.475	-0.601	-0.104	0.042	1.295	-0.514	0.317	-0.624	0.165
t40	0.341	1.018	-0.924	0.48	-0.888	1.454	-1.742	1.265	0.515	-0.09	0.818	-0.898	0.518	-1.066	0.761	2.241	0.882	-2.449	-1.073	-0.46	0.414	0.493	-0.981	0.177	-0.51	0.529	-0.389	-0.143	-0.437	0.134
t185	0.416	0.132	-0.78	0.501	-0.715	1.063	-1.547	0.94	0.377	0.086	0.573	-0.59	0.513	-1.337	0.823	2.359	1.113	-2.27	-1.489	-0.139	0.536	0.667	-0.997	-0.233	-0.267	1.156	-0.335	0.113	-0.25	-0.429
t74	0.306	0.665	-0.858	0.469	-0.933	1.857	-1.769	0.989	0.456	0.089	0.596	-0.787	0.422	-1.03	0.753	2.157	0.924	-2.405	-1.192	-0.569	0.708	0.53	-1.089	-0.157	-0.453	0.942	-0.338	0.172	-0.469	0.007
t151	0.341	1.183	-0.972	0.505	-1.098	1.096	-1.711	0.666	0.914	-0.075	0.661	-0.455	0.47	-0.682	0.806	2.481	0.878	-2.464	-1.426	-0.473	1.095	0.512	-1.286	0.033	-0.757	0.566	-0.35	-0.182	-0.372	0.086
t15	0.462	0.195	-0.959	0.571	-0.947	0.953	-1.491	1.141	1.223	-0.334	1.017	-0.577	0.784	-0.804	0.941	2.91	0.892	-2.507	-0.911	-0.261	0.609	0.76	-1.432	-0.198	-1.084	0.052	-0.247	-0.392	0.107	-0.487
t177	0.346	-0.087	-0.553	0.443	-0.402	0.569	-1.554	0.375	-0.752	0.492	0.271	-0.325	0.303	-0.665	0.764	1.47	1.116	-2.09	-1.966	0.247	-0.196	0.538	-0.273	-0.045	0.589	2.046	-0.609	0.498	-0.606	0.043
t90	0.423	0.796	-0.772	0.6	-0.238	0.682	-1.551	0.507	0.105	-0.013	0.737	-0.492	0.496	-0.917	0.876	2.213	0.945	-2.26	-1.467	0.033	0.271	0.593	-0.82	-0.174	-0.328	0.701	-0.44	0.028	-0.321	-0.224
t67	0.373	0.93	-0.814	0.534	-0.763	0.674	-1.705	1.253	0.265	0.038	0.519	-0.86	0.454	-1.435	0.779	2.243	1.092	-2.163	-1.209	-0.303	0.423	0.523	-0.909	0.048	-0.193	0.986	-0.322	0.213	-0.426	-0.254
t118	0.318	0.815	-0.781	0.542	-0.858	1.398	-1.756	0.575	0.15	0.105	0.493	-0.609	0.517	-0.539	0.819	2.061	0.872	-2.355	-1.185	-0.515	0.712	0.497	-1.017	-0.199	-0.469	0.946	-0.404	0.322	-0.499	0.042
t63	0.412	0.843	-0.905	0.476	-0.628	0.814	-1.535	1.059	0.658	-0.01	0.675	-0.614	0.342	-1.873	0.755	2.44	1.166	-2.205	-1.83	0.101	0.456	0.583	-0.939	0.136	-0.238	0.99	-0.356	-0.184	-0.313	-0.286
t157	0.274	0.989	-0.672	0.495	-0.675	0.894	-1.791	0.437	-0.55	0.359	0.308	-0.513	0.374	-0.364	0.755	1.555	0.888	-2.214	-1.306	-0.285	0.142	0.371	-0.516	-0.049	0.119	1.458	-0.566	0.522	-0.773	0.324
t25	0.424	0.365	-0.93	0.504	-0.901	1.227	-1.535	1.274	0.899	-0.223	0.935	-0.757	0.667	-1.09	0.843	2.601	0.954	-2.458	-1.156	-0.239	0.451	0.676	-1.188	0.042	-0.753	0.369	-0.325	-0.316	-0.085	-0.296
t60	0.363	0.28	-0.688	0.543	-0.581	0.707	-1.728	1.447	-0.168	0.149	0.597	-0.996	0.591	-1.167	0.795	1.903	0.946	-2.195	-0.747	-0.229	-0.444	0.568	-0.578	0.04	0.072	1.018	-0.423	0.353	-0.444	0.008
t131	0.382	0.543	-0.723	0.572	-0.51	0.432	-1.61	0.73	-0.095	0.038	0.67	-0.585	0.562	-0.293	0.87	2.014	0.89	-2.267	-1.146	-0.123	0.018	0.567	-0.711	-0.082	-0.181	0.766	-0.477	0.15	-0.349	-0.065
t175	0.37	0.337	-0.739	0.505	-0.724	1.094	-1.616	0.876	0.079	0.152	0.487	-0.625	0.468	-1.087	0.802	2.09	1.055	-2.22	-1.312	-0.176	0.306	0.574	-0.854	-0.154	-0.187	1.261	-0.403	0.305	-0.397	-0.263
t197	0.461	0.024	-0.85	0.564	-0.873	0.489	-1.499	1.255	0.762	-0.217	0.895	-0.682	0.809	-0.785	0.918	2.619	0.953	-2.415	-0.876	-0.17	0.151	0.733	-1.145	0.056	-0.717	0.404	-0.331	-0.188	0.006	-0.356
t22	0.387	0.934	-0.947	0.549	-1.106	0.93	-1.682	1.424	0.851	-0.273	0.841	-0.901	0.73	-0.952	0.839	2.568	0.883	-2.404	-0.806	-0.429	0.387	0.565	-1.179	0.198	-0.798	0.176	-0.322	-0.207	-0.203	-0.065
t93	0.411	1.03	-0.854	0.577	-0.557	1.187	-1.607	0.769	0.488	-0.057	0.635	-0.632	0.469	-1.445	0.838	2.479	1.05	-2.234	-1.449	-0.21	0.895	0.583	-1.107	-0.37	-0.515	0.692	-0.303	0.027	-0.306	-0.485
t92	0.482	-0.526	-0.754	0.543	-0.698	-0.095	-1.379	1.301	0.47	-0.122	0.951	-0.6	0.821	-0.648	0.932	2.432	0.976	-2.345	-0.886	0.162	-0.54	0.813	-0.846	0.12	-0.367	0.61	-0.399	-0.139	0.075	-0.347
t98	0.34	0.554	-0.691	0.502	-0.434	1.163	-1.718	1.089	-0.401	0.192	0.557	-0.887	0.409	-0.94	0.755	1.716	0.986	-2.22	-1.245	-0.216	-0.077	0.486	-0.527	0.014	0.14	1.191	-0.496	0.325	-0.582	0.018
t133	0.279	1.025	-0.779	0.445	-0.395	1.997	-1.773	0.593	-0.204	0.257	0.58	-0.734	0.206	-1.188	0.692	1.669	0.922	-2.327	-1.698	-0.264	0.361	0.42	-0.604	-0.075	0.044	1.23	-0.511	0.236	-0.743	0.329
t120	0.37	-0.013	-0.572	0.511	-0.446	1.04	-1.641	0.772	-0.437	0.438	0.136	-0.657	0.397	-1.46	0.792	1.791	1.237	-1.963	-1.716	-0.07	0.361	0.579	-0.574	-0.478	0.4	1.963	-0.398	0.652	-0.511	-0.517
t200	0.41	0.068	-0.919	0.478	-1.112	1.048	-1.583	1.244	1.046	-0.102	0.799	-0.629	0.624	-1.117	0.837	2.592	0.984	-2.466	-1.218	-0.309	0.6	0.708	-1.243	0.059	-0.66	0.677	-0.291	-0.242	-0.108	-0.186
t96	0.334	0.955	-0.952	0.526	-0.913	1.595	-1.757	0.923	0.689	-0.183	1.004	-0.73	0.617	-0.356	0.829	2.293	0.636	-2.661	-0.772	-0.605	0.455	0.531	-1.135	0.099	-0.859	0.067	-0.431	-0.241	-0.368	0.393
t20	0.38	1.05	-0.95	0.502	-0.972	1.049	-1.628	1.044	0.879	-0.065	0.609	-0.622	0.457	-1.507	0.787	2.626	1.084	-2.274	-1.469	-0.253	0.867	0.556	-1.236	-0.107	-0.603	0.784	-0.266	-0.097	-0.291	-0.345
t144	0.381	0.643	-0.745	0.546	-0.662	0.57	-1.664	1.216	-0.027	0.059	0.571	-0.819	0.564	-1.099	0.811	2.064	1.012	-2.169	-0.999	-0.144	-0.068	0.527	-0.699	0.047	-0.114	0.957	-0.42	0.226	-0.417	-0.158
t136	0.326	0.617	-0.734	0.489	-0.778	0.737	-1.689	0.626	-0.049	0.242	0.363	-0.489	0.322	-0.741	0.774	1.917	1.04	-2.191	-1.571	-0.186	0.436	0.501	-0.76	-0.035	0.012	1.42	-0.438	0.349	-0.543	0.021
t44	0.294	0.248	-0.661	0.497	-0.624	1.712	-1.805	0.974	-0.422	0.255	0.56	-0.891	0.55	-0.414	0.785	1.581	0.805	-2.36	-0.866	-0.502	-0.047	0.495	-0.583	-0.202	-0.019	1.128	-0.51	0.428	-0.606	0.196
t106	0.333	0.769	-0.828	0.505	-0.918	1.034	-1.747	0.985	0.38	0.09	0.521	-0.716	0.463	-1.028	0.781	2.16	0.979	-2.308	-1.203	-0.434	0.541	0.518	-1.006	0.049	-0.359	1.027	-0.353	0.217	-0.462	0.006
t167	0.263	0.932	-0.787	0.467	-0.831	1.343	-1.805	0.337	0.067	0.305	0.385	-0.413	0.312	-0.446	0.745	1.802	0.855	-2.346	-1.626	-0.42	0.686	0.426	-0.831	-0.09	-0.137	1.3	-0.488	0.284	-0.681	0.382
t178	0.353	0.392	-0.529	0.575	0.074	0.951	-1.671	0.543	-0.995	0.356	0.434	-0.725	0.39	-0.884	0.815	1.41	0.975	-2.038	-1.449	0.099	-0.362	0.495	-0.164	-0.338	0.52	1.425	-0.586	0.563	-0.645	-0.012
t140	0.368	1.196	-0.991	0.505	-1.088	1.407	-1.667	0.873	1.076	-0.094	0.509	-0.583	0.364	-1.482	0.78	2.74	1.138	-2.294	-1.689	-0.446	1.523	0.542	-1.486	-0.208	-0.792	0.822	-0.202	-0.072	-0.292	-0.467
t48	0.344	1.497	-1.026	0.516	-1.23	0.778	-1.661	0.666	1.133	-0.154	0.615	-0.381	0.413	-0.817	0.802	2.698	0.962	-2.382	-1.444	-0.372	1.109	0.496	-1.46	0.114	-0.951	0.558	-0.292	-0.131	-0.316	-0.092
t156	0.306	1.024	-0.787	0.482	-0.678	1.307	-1.784	1.025	-0.109	0.137	0.595	-0.871	0.448	-0.949	0.738	1.836	0.899	-2.304	-1.159	-0.364	0.162	0.423	-0.632	0.045	-0.057	0.949	-0.483	0.176	-0.626	0.252
t168	0.374	0.436	-0.623	0.537	-0.121	1.002	-1.657	0.504	-0.465	0.358	0.431	-0.56	0.31	-1.324	0.788	1.707	1.05	-2.132	-1.664	-0.033	0.244	0.562	-0.502	-0.287	0.315	1.544	-0.483	0.426	-0.601	-0.146
t75	0.415	0.624	-0.878	0.521	-0.652	0.678	-1.572	0.999	0.618	-0.077	0.777	-0.61	0.472	-1.32	0.815	2.403	1.027	-2.316	-1.56	-0.027	0.367	0.621	-0.961	0.166	-0.368	0.717	-0.37	-0.186	-0.252	-0.083
