feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t174	0.618	-0.571	0.558	-0.525	0.252	-1.322	1.569	0.807	-0.209	-1.392	-0.067	-0.804	-0.293	0.851	1.21	0.941	0.91	0.39	0.664	-0.191	-0.549	0.034	0.515	-0.136	0.742	-1.308	-0.843	-1.12	-1.422	0.686
t143	0.542	-1.068	0.485	-0.432	0.615	-1.39	1.481	1.308	-0.035	-1.601	-0.706	-0.566	0.144	0.522	1.676	0.595	0.652	1.022	0.594	0.085	-0.969	0.076	0.552	-0.03	0.669	-1.094	-1.373	-1.307	-1.262	0.804
t26	0.547	-0.044	0.889	-0.624	-0.263	-1.456	1.407	-0.247	-0.473	-1.173	0.324	-0.782	-0.704	1.559	0.563	1.468	1.037	0.046	0.494	-0.257	0.315	-0.053	0.457	-0.243	0.999	-1.73	0.097	-0.859	-1.627	0.329
t28	0.151	-0.856	0.577	-0.479	0.715	-1.188	1.718	1.556	-0.061	-1.983	-0.397	-0.546	0.343	0.275	1.887	0.264	1.233	1.015	0.41	0.1	-1.127	0.079	0.52	-0.191	0.73	-1.359	-1.631	-1.255	-1.102	0.594
t76	-0.112	-0.561	0.608	-0.507	0.552	-2.461	1.029	0.945	-0.147	-1.732	1	-0.779	0.115	0.934	1.562	0.773	0.537	1.602	0.359	0.472	-0.929	-0.031	0.488	-0.356	0.793	-1.157	-0.941	-1.274	-1.348	0.561
t54	0.562	-0.376	0.906	-0.58	-0.015	-1.182	1.804	-0.103	-0.45	-1.322	-0.586	-0.445	-0.396	1.325	0.616	1.691	1.265	-0.036	0.609	-0.474	0.26	-0.026	0.473	-0.187	1.131	-1.833	-0.211	-0.933	-1.572	0.075
t57	0.283	-0.474	0.822	-0.582	0.213	-1.379	1.736	0.251	-0.349	-1.539	-0.409	-0.367	-0.112	1.018	0.935	1.385	1.327	0.376	0.512	-0.272	-0.123	-0.009	0.478	-0.264	1.095	-1.725	-0.525	-1.068	-1.379	0.14
t23	0.542	-0.28	0.873	-0.56	-0.088	-1.255	1.39	-0.032	-0.462	-1.283	-0.632	-0.413	-0.418	1.467	0.728	1.513	1.056	0.376	0.344	-0.174	0.266	0.007	0.489	-0.192	1.05	-1.721	-0.167	-0.973	-1.474	0.019
t152	0.878	-0.067	0.876	-0.627	-0.36	-1.468	1.564	-0.858	-0.631	-0.834	-0.179	-0.544	-0.897	1.891	0.039	2.303	0.964	-0.37	0.699	-0.612	0.705	-0.071	0.465	-0.186	1.183	-1.854	0.542	-0.814	-1.758	0.012
t104	0.221	-0.92	0.543	-0.428	0.728	-1.84	1.335	1.572	-0.026	-1.813	-0.058	-0.735	0.318	0.589	1.806	0.483	0.617	1.403	0.446	0.335	-1.189	0.061	0.536	-0.166	0.633	-1.031	-1.509	-1.318	-1.307	0.709
t87	0.614	-0.357	0.708	-0.51	0.14	-1.416	1.542	-0.211	-0.436	-1.106	-0.553	-0.279	-0.424	1.421	0.657	1.517	0.792	0.329	0.642	-0.362	-0.032	-0.044	0.494	-0.112	1.071	-1.644	-0.212	-1.078	-1.394	0.237
t24	0.347	-0.599	0.766	-0.513	0.392	-1.259	1.68	0.477	-0.333	-1.564	-0.81	-0.237	0.04	0.946	1.145	1.097	1.131	0.647	0.453	-0.16	-0.357	0.008	0.498	-0.149	1.011	-1.648	-0.799	-1.13	-1.263	0.179
t88	0.299	-0.62	0.383	-0.52	0.438	-1.571	1.591	1.039	-0.162	-1.709	0.826	-0.914	-0.19	0.696	1.554	0.776	1.03	0.682	0.684	-0.11	-0.814	0.008	0.496	-0.282	0.755	-1.412	-1.056	-1.192	-1.385	0.674
t6	0.099	-0.461	0.796	-0.627	0.257	-1.658	1.985	0.573	-0.28	-1.895	0.506	-0.766	0.004	0.805	1.036	1.338	1.607	0.237	0.626	-0.304	-0.282	-0.031	0.454	-0.386	1.065	-1.792	-0.697	-1.017	-1.53	0.331
t101	0.072	-0.26	0.693	-0.677	0.068	-2.445	1.525	0.286	-0.333	-1.659	1.982	-1.127	-0.421	1.126	0.893	1.685	1.233	0.398	0.665	-0.118	-0.2	-0.079	0.435	-0.564	1.017	-1.645	-0.213	-0.968	-1.745	0.364
t70	0.357	-0.348	0.517	-0.546	0.283	-1.472	1.523	0.493	-0.258	-1.44	0.283	-0.737	-0.234	1.033	1.173	0.943	0.895	0.546	0.636	-0.185	-0.549	-0.029	0.485	-0.189	0.83	-1.447	-0.698	-1.161	-1.363	0.658
t113	0.058	-0.64	0.894	-0.527	0.339	-1.974	1.356	0.796	-0.204	-1.825	-0.005	-0.558	0.136	0.954	1.295	1.157	1.059	1.105	0.279	0.241	-0.355	0.023	0.491	-0.34	0.962	-1.478	-0.811	-1.101	-1.492	0.158
t83	0.348	-0.707	0.545	-0.515	0.49	-1.52	1.654	0.864	-0.176	-1.631	-0.049	-0.632	0.022	0.719	1.384	0.923	0.95	0.708	0.643	-0.107	-0.75	0.008	0.504	-0.177	0.835	-1.388	-1.029	-1.207	-1.335	0.622
t129	0.214	-0.55	0.893	-0.543	0.285	-1.774	1.702	0.451	-0.279	-1.646	-0.257	-0.466	0.013	1.012	0.908	1.474	1.191	0.559	0.513	-0.136	-0.228	-0.002	0.487	-0.305	1.091	-1.59	-0.629	-1.082	-1.476	0.164
t145	0.598	-0.318	0.708	-0.612	-0.013	-1.384	1.617	0.229	-0.432	-1.354	0.025	-0.789	-0.414	1.275	0.778	1.654	1.123	0.109	0.594	-0.333	0.034	-0.007	0.479	-0.225	0.948	-1.63	-0.315	-0.972	-1.617	0.238
t179	0.39	-0.546	0.439	-0.452	0.576	-1.631	1.215	0.876	-0.217	-1.404	-0.039	-0.579	-0.003	0.97	1.506	0.544	0.404	1.191	0.493	0.151	-0.994	-0.005	0.517	-0.067	0.658	-1.167	-1.056	-1.291	-1.209	0.726
t190	0.79	-0.398	0.597	-0.474	0.252	-0.918	1.602	0.034	-0.395	-1.011	-1.076	-0.243	-0.384	1.182	0.842	0.959	0.652	0.3	0.672	-0.39	-0.344	-0.025	0.517	0.082	0.913	-1.486	-0.534	-1.148	-1.144	0.571
t95	0.296	-0.693	0.533	-0.502	0.378	-1.6	1.515	1.187	-0.198	-1.784	0.529	-0.951	-0.106	0.808	1.486	0.897	0.979	0.818	0.541	0.034	-0.657	0.034	0.507	-0.28	0.786	-1.353	-1.092	-1.166	-1.431	0.479
t63	0.165	-0.778	0.567	-0.458	0.607	-1.751	1.215	1.489	-0.023	-1.818	0.136	-0.783	0.238	0.554	1.864	0.192	0.652	1.428	0.363	0.419	-1.111	0.045	0.522	-0.156	0.587	-1.071	-1.427	-1.285	-1.254	0.866
t89	0.767	-0.104	0.613	-0.608	-0.131	-1.164	1.601	0.027	-0.474	-1.144	0.16	-0.787	-0.686	1.341	0.668	1.485	1.071	-0.134	0.666	-0.46	0.048	-0.018	0.479	-0.184	0.894	-1.675	-0.165	-0.951	-1.549	0.408
t43	0.723	-0.252	0.826	-0.611	-0.044	-0.755	2.101	-0.255	-0.588	-1.259	-0.79	-0.318	-0.488	1.262	0.45	1.733	1.551	-0.468	0.692	-0.768	0.317	-0.029	0.469	-0.15	1.191	-2.049	-0.165	-0.901	-1.426	-0.011
t94	0.695	-0.476	0.615	-0.517	0.227	-0.982	1.695	0.415	-0.364	-1.314	-0.746	-0.428	-0.297	1.016	1.009	1.133	1.051	0.259	0.591	-0.353	-0.306	0.025	0.512	-0.081	0.903	-1.581	-0.668	-1.09	-1.296	0.351
t47	0.43	-0.82	0.646	-0.456	0.499	-1.266	1.547	1.394	-0.12	-1.783	-0.67	-0.573	0.168	0.561	1.617	0.608	1.007	0.931	0.405	0.112	-0.794	0.097	0.536	-0.136	0.716	-1.303	-1.368	-1.204	-1.297	0.51
t3	0.42	-0.348	0.803	-0.605	0.04	-1.62	1.726	0.011	-0.421	-1.417	0.188	-0.617	-0.39	1.264	0.676	1.766	1.245	0.112	0.635	-0.373	0.074	-0.037	0.467	-0.318	1.116	-1.767	-0.21	-0.967	-1.596	0.134
t62	0.844	-0.287	0.837	-0.495	0.054	-0.955	1.458	-0.526	-0.552	-0.824	-1.811	0.117	-0.407	1.6	0.432	1.51	0.654	0.286	0.47	-0.373	0.169	-0.022	0.514	0.072	1.106	-1.654	-0.06	-1.074	-1.206	0.11
t60	0.31	-0.448	0.745	-0.537	0.366	-1.655	1.668	0.263	-0.347	-1.437	-0.242	-0.438	-0.044	1.114	0.907	1.322	0.913	0.558	0.62	-0.222	-0.387	-0.051	0.482	-0.177	1.019	-1.539	-0.599	-1.137	-1.38	0.351
t132	0.38	-0.61	0.677	-0.494	0.373	-1.396	1.529	0.94	-0.272	-1.64	-0.255	-0.612	-0.041	0.907	1.324	0.936	1.014	0.77	0.439	-0.016	-0.518	0.04	0.51	-0.196	0.841	-1.441	-0.989	-1.137	-1.36	0.291
t10	0.796	-0.477	0.775	-0.487	0.085	-1.148	1.442	0.234	-0.384	-1.16	-1.062	-0.31	-0.382	1.253	0.832	1.259	0.84	0.39	0.465	-0.206	-0.048	0.04	0.526	-0.055	0.927	-1.526	-0.439	-1.051	-1.379	0.243
t37	0.816	-0.292	0.789	-0.565	0.097	-0.835	1.779	-0.497	-0.585	-1.012	-1.611	0.054	-0.294	1.394	0.48	1.642	1.01	0.004	0.592	-0.58	0.188	-0.043	0.489	0.049	1.127	-1.864	-0.125	-1.029	-1.288	0.104
