V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t2	-3	0.748	-1.694	1.189	-0.901	-0.526	0.292	1.711	-0.393	0.849	2.083	-0.086	0.44	1.325	0.741	1.033	-2.191	-0.111	-3	-1.446	-1.394	0.249	2.01	0.197	0.456	-1.746	1.564	0.905	0.84	-0.15
t19	-3.112	0.827	-1.652	1.279	-0.969	-0.454	0.191	1.848	-0.123	0.826	1.986	-0.169	0.355	1.232	0.827	0.972	-2.177	-0.17	-3.005	-1.548	-2.133	0.657	1.981	0.225	0.472	-1.533	1.502	0.901	0.871	0.089
t48	-2.009	0.985	-0.986	-0.032	-0.595	-0.86	0.827	1.53	-0.506	1.292	1.53	-1.135	1.027	1.465	0.267	0.572	-2.093	-0.375	-2.122	-0.627	0.084	-0.433	1.165	-0.346	0.694	-1.885	1.681	0.997	0.107	-0.223
t43	-1.969	1.09	-0.972	0.099	-0.774	-0.796	0.634	1.606	-0.338	1.219	1.327	-1.167	0.874	1.556	0.322	0.553	-2.12	-0.419	-2.045	-0.799	-0.475	-0.172	1.114	-0.252	0.731	-1.677	1.651	1.109	0.102	-0.014
t28	-4.116	-0.259	-2.684	1.325	-0.154	-0.556	1.149	1.038	-0.438	0.983	3.335	0.856	0.671	0.714	0.982	1.435	-2.026	0.886	-4.805	-0.865	1.344	-1.437	3.245	0.239	-0.04	-2.82	1.643	0.082	1.626	-1.379
t23	-4.615	-0.637	-2.558	1.739	0.388	-0.696	1.964	0.973	-0.81	1.262	3.903	1.121	1.162	0.036	1.055	1.321	-1.821	0.793	-5.057	-0.185	1.57	-1.967	3.119	-0.037	-0.208	-2.996	1.677	-0.621	1.968	-1.885
t26	-4.075	-0.288	-2.601	1.161	-0.042	-0.639	1.384	0.931	-0.459	1.127	3.093	0.685	0.85	0.767	0.92	1.336	-1.972	0.876	-4.716	-0.589	1.952	-1.922	3.119	0.192	-0.012	-2.987	1.708	0.102	1.537	-1.461
t31	-3.774	-0.127	-2.453	0.901	-0.12	-0.668	1.238	0.971	-0.351	1.119	2.886	0.395	0.814	0.901	0.824	1.258	-2.011	0.832	-4.468	-0.635	1.912	-1.699	2.945	0.128	0.073	-2.862	1.696	0.243	1.328	-1.312
t6	-1.705	0.878	0.815	0.359	0.536	-1.524	3.079	1.78	-1.694	2.297	1.416	-1.859	2.621	0.214	-0.021	-0.482	-1.538	-1.767	-0.546	1.557	-0.688	-1.418	-0.922	-1.373	0.794	-1.543	1.799	-0.383	0.084	-0.772
t15	-1.594	0.986	0.895	0.353	0.424	-1.502	2.986	1.824	-1.631	2.302	1.21	-1.966	2.589	0.319	-0.029	-0.531	-1.544	-1.856	-0.365	1.506	-0.979	-1.356	-1.053	-1.355	0.854	-1.427	1.807	-0.248	-0.008	-0.616
