V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t43	0.003	0.059	0.008	0.022	0.009	0.009	0.038	0.1	0.014	0.068	0.075	0.006	0.048	0.095	0.028	0.035	0.002	0.013	0.003	0.009	0.012	0.017	0.061	0.016	0.041	0.004	0.104	0.061	0.022	0.02
t28	0	0.007	0.001	0.036	0.008	0.006	0.031	0.027	0.006	0.026	0.272	0.023	0.019	0.02	0.026	0.041	0.001	0.023	0	0.004	0.037	0.002	0.249	0.012	0.009	0.001	0.05	0.011	0.049	0.002
t23	0	0.004	0.001	0.043	0.011	0.004	0.054	0.02	0.003	0.027	0.377	0.023	0.024	0.008	0.022	0.029	0.001	0.017	0	0.006	0.037	0.001	0.172	0.007	0.006	0	0.041	0.004	0.055	0.001
t26	0	0.008	0.001	0.033	0.01	0.005	0.041	0.026	0.006	0.032	0.227	0.02	0.024	0.022	0.026	0.039	0.001	0.025	0	0.006	0.072	0.002	0.233	0.012	0.01	0.001	0.057	0.011	0.048	0.002
t31	0	0.01	0.001	0.028	0.01	0.006	0.04	0.03	0.008	0.035	0.207	0.017	0.026	0.028	0.026	0.041	0.002	0.027	0	0.006	0.078	0.002	0.22	0.013	0.012	0.001	0.063	0.015	0.044	0.003
t6	0.002	0.028	0.027	0.017	0.02	0.003	0.257	0.07	0.002	0.117	0.049	0.002	0.162	0.015	0.012	0.007	0.003	0.002	0.007	0.056	0.006	0.003	0.005	0.003	0.026	0.003	0.071	0.008	0.013	0.005
t15	0.002	0.033	0.03	0.017	0.019	0.003	0.241	0.075	0.002	0.121	0.041	0.002	0.162	0.017	0.012	0.007	0.003	0.002	0.008	0.055	0.005	0.003	0.004	0.003	0.029	0.003	0.074	0.009	0.012	0.007
t40	0	0.008	0.002	0.029	0.014	0.004	0.096	0.029	0.003	0.044	0.32	0.017	0.042	0.015	0.022	0.029	0.002	0.015	0	0.012	0.051	0.001	0.111	0.008	0.011	0.001	0.059	0.006	0.048	0.002
t49	0	0.007	0.002	0.033	0.019	0.003	0.178	0.028	0.003	0.057	0.293	0.014	0.063	0.009	0.02	0.019	0.002	0.01	0	0.023	0.036	0.001	0.057	0.006	0.01	0.001	0.057	0.004	0.046	0.001
t7	0	0.013	0.001	0.028	0.01	0.008	0.052	0.04	0.023	0.039	0.167	0.015	0.021	0.025	0.037	0.036	0.002	0.031	0	0.007	0.023	0.004	0.249	0.016	0.014	0.001	0.058	0.011	0.063	0.005
