captive	diet	realm	flight
Choeroniscus_minor	wild	Fruits	Neotropic	flighted
Sturnira_lilium	wild	Fruits	Neotropic	flighted
Glossophaga_soricina	wild	Fruits	Neotropic	flighted
Pteronotus_parnellii	wild	Invertebrates	Neotropic	flighted
Mormoops_megalophylla	wild	Invertebrates	Neotropic	flighted
Carollia_sowelli	wild	Fruits	Neotropic	flighted
Antrozous_dubiaquercus	wild	Invertebrates	Neotropic	flighted
Orycteropus_afer	captive_wild	Invertebrates	Afrotropical	flightless
Addax_nasomaculatus	captive	Plants	Palearctic	flightless
Lycaon_pictus	captive_wild	Meat	Afrotropical	flightless
Pseudois_nayaur	captive	Plants	Palearctic	flightless
Antilope_cervicapra	captive	Plants	Palearctic	flightless
Saimiri_boliviensis	captive	Plants	Palearctic	flightless
Ateles_fusciceps	captive	Fruits	Palearctic	flightless
Connochaetes_taurinus	captive_wild	Plants	Afrotropical	flightless
Parahyaena_brunnea	captive_wild	Meat	Afrotropical	flightless
Caracal_caracal	captive	Meat	Nearctic	flightless
Acinonyx_jubatus	captive_wild	Meat	Afrotropical	flightless
Axis_axis	captive	Plants	Palearctic	flightless
Taurotragus_oryx	captive_wild	Plants	Afrotropical	flightless
Saguinus_oedipus	captive	Fruits	Palearctic	flightless
Camelus_dromedarius	captive	Plants	Palearctic	flightless
Eudromia_elegans	captive_wild	Plants	Neotropic	flighted
Oryx_gazella	captive_wild	Plants	Afrotropical	flightless
Cercocebus_chrysogaster	captive	Fruits	Palearctic	flightless
Leontopithecus_chrysomelas	captive	Fruits	Nearctic	flightless
Tragelaphus_strepsiceros	captive_wild	Plants	Afrotropical	flightless
Rhea_americana	captive	Plants	Nearctic	flightless
Equus_grevyi	captive_wild	Plants	Afrotropical	flightless
Lama_guanicoe	captive	Plants	Palearctic	flightless
Papio_papio	captive	Plants	Palearctic	flightless
Equus_zebra	captive_wild	Plants	Afrotropical	flightless
Canis_lupus	captive	Meat	Palearctic	flightless
Aepyceros_melampus	captive_wild	Plants	Afrotropical	flightless
Axis_porcinus	captive	Plants	Palearctic	flightless
Panthera_onca	captive	Meat	Palearctic	flightless
Tragulus_javanicus	captive	Plants	Palearctic	flightless
Cercopithecus_cephus	captive	Fruits	Palearctic	flightless
Dasypus_novemcinctus	wild	Invertebrates	Nearctic	flightless
Okapia_johnstoni	captive	Plants	Nearctic	flightless
Equus_hemionus	captive	Plants	Palearctic	flightless
Dolichotis_patagonum	captive	Plants	Palearctic	flightless
Erythrocebus_patas	captive	Plants	Palearctic	flightless
Callosciurus_prevostii	captive	Plants	Nearctic	flightless
Nycticebus_pygmaeus	captive	Invertebrates	Palearctic	flightless
Cariama_cristata	captive	Invertebrates	Nearctic	flighted
Notamacropus_rufogriseus	captive	Plants	Palearctic	flightless
Varecia_rubra	captive	Fruits	Palearctic	flightless
Hippotragus_niger	captive_wild	Plants	Afrotropical	flightless
Leptailurus_serval	captive	Meat	Palearctic	flightless
Cervus_nippon	captive	Plants	Palearctic	flightless
Callithrix_argentata	captive	Fruits	Palearctic	flightless
Equus_asinus	captive	Plants	Palearctic	flightless
Tamandua_tetradactyla	captive_wild	Invertebrates	Palearctic	flightless
Antidorcas_marsupialis	captive_wild	Plants	Afrotropical	flightless
Budorcas_taxicolor	captive	Plants	Palearctic	flightless
Cebus_apella	captive	Plants	Palearctic	flightless
Vicugna_vicugna	captive	Plants	Palearctic	flightless
Ceratotherium_simum	captive_wild	Plants	Afrotropical	flightless
Pithecia_pithecia	captive	Fruits	Nearctic	flightless
Callithrix_geoffroyi	captive	Fruits	Nearctic	flightless
Saguinus_labiatus	captive	Fruits	Palearctic	flightless
Proteles_cristatus	captive	Invertebrates	Nearctic	flightless
Manis_pentadactyla	captive	Invertebrates	Palearctic	flightless
Elephas_maximus	captive	Plants	Palearctic	flightless
Myrmecophaga_tridactyla	captive_wild	Invertebrates	Neotropic	flightless
Priodontes_maximus	wild	Invertebrates	Neotropic	flightless
Choloepus_didactylus	captive	Plants	Nearctic	flightless
Zaedyus_pichiy	wild	Invertebrates	Neotropic	flightless
Chaetophractus_vellerosus	captive	Invertebrates	Nearctic	flightless
Euphractus_sexcinctus	captive	Plants	Nearctic	flightless
Melursus_ursinus	captive	Invertebrates	Nearctic	flightless
Notamacropus_parma	captive	Plants	Nearctic	flightless
Syncerus_caffer	wild	Plants	Afrotropical	flightless
Chiroxiphia_lanceolata	wild	Fruits	Neotropic	flighted
Columbina_passerina	wild	Plants	Neotropic	flighted
Columbina_talpacoti	wild	Plants	Neotropic	flighted
Turdus_flavipes	wild	Fruits	Neotropic	flighted
Ramphocelus_carbo	captive_wild	Fruits	Neotropic	flighted
Saltator_maximus	wild	Invertebrates	Neotropic	flighted
Turdus_olivater	wild	Fruits	Neotropic	flighted
Zonotrichia_capensis	wild	Plants	Neotropic	flighted
Trachypithecus_francoisi	captive_wild	Plants	Palearctic	flightless
Rhinopithecus_bieti	captive	Plants	Palearctic	flightless
Hirundo_rustica	wild	Invertebrates	Nearctic	flighted
Callorhinus_ursinus	wild	Meat	Nearctic	flightless
Urocitellus_parryii	wild	Plants	Nearctic	flightless
Ovis_canadensis	captive_wild	Plants	Afrotropical	flightless
Procavia_capensis	captive	Plants	Nearctic	flightless
Oryctolagus_cuniculus	captive	Plants	Nearctic	flightless
