captive	diet	realm	flight
Lonchura_fringilloides	wild	Plants	Afrotropical	flighted
Pytilia_afra	wild	Plants	Afrotropical	flighted
Pytilia_melba	wild	Plants	Afrotropical	flighted
Uraeginthus_angolensis	wild	Plants	Afrotropical	flighted
Serinus_canicollis	wild	Plants	Afrotropical	flighted
Lanius_collurio	wild	Invertebrates	Afrotropical	flighted
Dryoscopus_cubla	wild	Invertebrates	Afrotropical	flighted
Laniarius_ferrugineus	wild	Invertebrates	Afrotropical	flighted
Anthus_novaeseelandiae	wild	Invertebrates	Afrotropical	flighted
Cercomela_familiaris	wild	Invertebrates	Afrotropical	flighted
Sheppardia_sharpei	wild	Invertebrates	Afrotropical	flighted
Muscicapa_adusta	wild	Invertebrates	Afrotropical	flighted
Muscicapa_caerulescens	wild	Invertebrates	Afrotropical	flighted
Muscicapa_striata	wild	Invertebrates	Afrotropical	flighted
Anthreptes_collaris	wild	Invertebrates	Afrotropical	flighted
Passer_domesticus	wild	Plants	Afrotropical	flighted
Batis_capensis	wild	Invertebrates	Afrotropical	flighted
Euplectes_capensis	wild	Plants	Afrotropical	flighted
Ploceus_ocularis	wild	Invertebrates	Afrotropical	flighted
Phyllastrephus_cerviniventris	wild	Invertebrates	Afrotropical	flighted
Pycnonotus_barbatus	wild	Fruits	Afrotropical	flighted
Lamprotornis_chalybaeus	wild	Fruits	Afrotropical	flighted
Acrocephalus_arundinaceus	wild	Invertebrates	Afrotropical	flighted
Acrocephalus_cinnamomeus	wild	Invertebrates	Afrotropical	flighted
Sylvia_borin	wild	Fruits	Afrotropical	flighted
Zoothera_gurneyi	wild	Invertebrates	Afrotropical	flighted
Vidua_funerea	wild	Plants	Afrotropical	flighted
Vidua_paradisaea	wild	Plants	Afrotropical	flighted
Ixobrychus_sturmii	wild	Invertebrates	Afrotropical	flighted
Indicator_variegatus	wild	Fruits	Afrotropical	flighted
Glaucidium_perlatum	wild	Invertebrates	Afrotropical	flighted
Nanger_granti	wild	Plants	Afrotropical	flightless
Bos_indicus	wild	Plants	Afrotropical	flightless
Carollia_perspicillata	wild	Fruits	Neotropic	flighted
Myotis_lucifugus	wild	Invertebrates	Nearctic	flighted
Coleura_afra	wild	Invertebrates	Afrotropical	flighted
Epomophorus_wahlbergi	wild	Fruits	Afrotropical	flighted
Hipposideros_caffer	wild	Invertebrates	Afrotropical	flighted
Hipposideros_ruber	wild	Invertebrates	Afrotropical	flighted
Hipposideros_vittatus	wild	Invertebrates	Afrotropical	flighted
Micropteropus_pusillus	wild	Fruits	Afrotropical	flighted
Miniopterus_natalensis	wild	Invertebrates	Afrotropical	flighted
Miniopterus_inflatus	wild	Invertebrates	Afrotropical	flighted
Miniopterus_minor	wild	Invertebrates	Afrotropical	flighted
Myonycteris_angolensis	wild	Fruits	Afrotropical	flighted
Neoromicia_nanus	wild	Invertebrates	Afrotropical	flighted
Nycteris_arge	wild	Invertebrates	Afrotropical	flighted
Nycteris_thebaica	wild	Invertebrates	Afrotropical	flighted
Otomops_harrisoni	wild	Invertebrates	Afrotropical	flighted
Rhinolophus_clivosus	wild	Invertebrates	Afrotropical	flighted
Rhinolophus_eloquens	wild	Invertebrates	Afrotropical	flighted
Rhinolophus_landeri	wild	Invertebrates	Afrotropical	flighted
Rousettus_aegyptiacus	wild	Fruits	Afrotropical	flighted
Scotoecus_hirundo	wild	Invertebrates	Afrotropical	flighted
Scotophilus_dinganii	wild	Invertebrates	Afrotropical	flighted
Rousettus_lanosus	wild	Fruits	Afrotropical	flighted
Triaenops_afer	wild	Invertebrates	Afrotropical	flighted
Eubalaena_glacialis	wild	Invertebrates	Nearctic	flightless
Megaptera_novaeangliae	wild	Invertebrates	Neotropic	flightless
Tursiops_truncatus	captive	Meat	Nearctic	flightless
Hippopotamus_amphibius	wild	Plants	Afrotropical	flightless
Grammomys_macmillani	wild	Plants	Afrotropical	flightless
Graphiurus_murinus	wild	Meat	Afrotropical	flightless
Hylomyscus_denniae	wild	Fruits	Afrotropical	flightless
Lophuromys_aquilus	wild	Invertebrates	Afrotropical	flightless
Praomys_jacksoni	wild	Plants	Afrotropical	flightless
Crocidura_denti	wild	Invertebrates	Afrotropical	flightless
Crocidura_luna	wild	Invertebrates	Afrotropical	flightless
